dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,1,0,No,0,1.5224072933197,1.5224072933197,1.5224072933197,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,516,516,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,2,0,No,0,75.9379799365997,75.9379799365997,75.9379799365997,-2.0,-2.0,1.0,1.0,-2.0,0.226607573141788,-2.0,-2.0,-2.0,0.919448180317924,0.92810021767401,0.660835762876579,-2.0,1.09460544091778,-2.0,-2.0,1279,1279,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,3,0,No,0,58.2560243606567,58.2560243606567,58.2560243606567,-2.0,-2.0,1.0,1.0,-2.0,0.226607573141788,-2.0,-2.0,-2.0,0.919448180317924,0.92810021767401,0.660835762876579,-2.0,1.09460544091778,-2.0,-2.0,1145,1145,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,4,0,No,0,1.52312469482422,1.52312469482422,1.52312469482422,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,516,516,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,5,0,No,0,53.9134557247162,53.9134557247162,53.9134557247162,-2.0,-2.0,1.0,1.0,-2.0,0.226607573141788,-2.0,-2.0,-2.0,0.919448180317924,0.92810021767401,0.660835762876579,-2.0,1.09460544091778,-2.0,-2.0,1143,1143,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,6,0,No,0,60.3392512798309,60.3392512798309,60.3392512798309,-2.0,-2.0,1.0,1.0,-2.0,0.226607573141788,-2.0,-2.0,-2.0,0.919448180317924,0.92810021767401,0.660835762876579,-2.0,1.09460544091778,-2.0,-2.0,1144,1144,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,7,0,No,0,1.93771767616272,1.93771767616272,1.93771767616272,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,516,516,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,8,0,No,0,1.91703581809998,1.91703581809998,1.91703581809998,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.92810021767401,-2.0,-2.0,-2.0,-2.0,-2.0,516,516,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,9,0,No,0,57.9284179210663,57.9284179210663,57.9284179210663,-2.0,-2.0,1.0,1.0,-2.0,0.226607573141788,-2.0,-2.0,-2.0,0.919448180317924,0.92810021767401,0.660835762876579,-2.0,1.09460544091778,-2.0,-2.0,1144,1144,Run-Pipeline,0,Volkert,6
oml_dataset_35_rnc,AutoGen,,gpt-4o,Auto,multiclass,True,10,0,No,0,59.6113851070404,59.6113851070404,59.6113851070404,-2.0,-2.0,1.0,1.0,-2.0,0.226607573141788,-2.0,-2.0,-2.0,0.919448180317924,0.92810021767401,0.660835762876579,-2.0,1.09460544091778,-2.0,-2.0,1136,1136,Run-Pipeline,0,Volkert,6
