dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,1,0,No,0,0,90.8244457244873,90.7775790691376,0.787144427758308,0.787144427758308,0.787144427758308,0.701428574323654,-2,-2,-2,-2,0.752980426444869,0.752980426444869,0.752980426444869,0.701428574323654,-2,-2,-2,-2,1961,1961,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,2,0,No,0,0,90.8244457244873,90.7775790691376,0.790101120948298,0.790101120948298,0.790101120948298,0.701428574323654,-2,-2,-2,-2,0.754070507075285,0.754070507075285,0.754070507075285,0.701428574323654,-2,-2,-2,-2,1961,4085,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,3,0,No,0,0,90.8244457244873,90.7775790691376,0.787366936708772,0.787366936708772,0.787366936708772,0.701428574323654,-2,-2,-2,-2,0.754487685562324,0.754487685562324,0.754487685562324,0.701428574323654,-2,-2,-2,-2,1961,6369,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,4,0,No,0,0,90.8244457244873,90.7775790691376,0.790093709107633,0.790093709107633,0.790093709107633,0.701428574323654,-2,-2,-2,-2,0.756145053364946,0.756145053364946,0.756145053364946,0.701428574323654,-2,-2,-2,-2,1961,8786,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,5,0,No,0,0,90.8244457244873,90.7775790691376,0.789952075409501,0.789952075409501,0.789952075409501,0.701428574323654,-2,-2,-2,-2,0.755210079898965,0.755210079898965,0.755210079898965,0.701428574323654,-2,-2,-2,-2,1961,11366,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,6,0,No,0,0,90.8244457244873,90.7775790691376,0.79045755968184,0.79045755968184,0.79045755968184,0.701428574323654,-2,-2,-2,-2,0.756073396938206,0.756073396938206,0.756073396938206,0.701428574323654,-2,-2,-2,-2,1961,14116,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,7,0,No,0,0,90.8244457244873,90.7775790691376,0.788451666916187,0.788451666916187,0.788451666916187,0.701428574323654,-2,-2,-2,-2,0.753625579527399,0.753625579527399,0.753625579527399,0.701428574323654,-2,-2,-2,-2,1961,17027,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,8,0,No,0,0,90.8244457244873,90.7775790691376,0.790513448985118,0.790513448985118,0.790513448985118,0.701428574323654,-2,-2,-2,-2,0.75726149709121,0.75726149709121,0.75726149709121,0.701428574323654,-2,-2,-2,-2,1961,20058,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,9,0,No,0,0,90.8244457244873,90.7775790691376,0.787620917338561,0.787620917338561,0.787620917338561,0.701428574323654,-2,-2,-2,-2,0.754347207528689,0.754347207528689,0.754347207528689,0.701428574323654,-2,-2,-2,-2,1961,23239,Run-CAAFE,0,Credit-g,4
oml_dataset_4_rnc,CAAFE,,gpt-4o,RandomForest,binary,True,10,0,No,0,0,90.8244457244873,90.7775790691376,0.788345978530064,0.788345978530064,0.788345978530064,0.701428574323654,-2,-2,-2,-2,0.75475934645461,0.75475934645461,0.75475934645461,0.701428574323654,-2,-2,-2,-2,1961,26589,Run-CAAFE,0,Credit-g,4
