dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,1,0,No,0,0,1137.33582568169,1136.94265270233,0.874439997216192,0.874439997216192,0.874420210056659,0.132615579664707,-2,-2,-2,-2,0.873084025984421,0.873084025984421,0.873088802431061,0.132486268505454,-2,-2,-2,-2,11699,11699,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,2,0,No,0,0,1137.33582568169,1136.94265270233,0.866956286063375,0.866956286063375,0.866144187570431,0.136929035186768,-2,-2,-2,-2,0.865708277610831,0.865708277610831,0.864989101866482,0.137056373432279,-2,-2,-2,-2,11699,23476,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,3,0,No,0,0,1137.33582568169,1136.94265270233,0.875661985748796,0.875661985748796,0.874970987926389,0.136820623278618,-2,-2,-2,-2,0.874420983113824,0.874420983113824,0.873806020404668,0.137004986777902,-2,-2,-2,-2,11699,35356,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,4,0,No,0,0,1137.33582568169,1136.94265270233,0.894163819780761,0.894163819780761,0.893794736162102,0.133756718784571,-2,-2,-2,-2,0.893574140243025,0.893574140243025,0.893252369917533,0.134283510223031,-2,-2,-2,-2,11699,59671,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,5,0,No,0,0,1137.33582568169,1136.94265270233,0.898221995513627,0.898221995513627,0.897846120709223,0.131012336909771,-2,-2,-2,-2,0.897546088992423,0.897546088992423,0.897202584447258,0.1307915892452,-2,-2,-2,-2,11699,115091,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,6,0,No,0,0,1137.33582568169,1136.94265270233,0.884099317400805,0.884099317400805,0.883576927049684,0.134658197313547,-2,-2,-2,-2,0.883048726828994,0.883048726828994,0.882560341877838,0.135053794458508,-2,-2,-2,-2,11699,144525,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,7,0,No,0,0,1137.33582568169,1136.94265270233,0.882374948249747,0.882374948249747,0.882160744501186,0.133557017147541,-2,-2,-2,-2,0.8815511076491,0.8815511076491,0.881400174239256,0.134078276157379,-2,-2,-2,-2,11699,174056,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,8,0,No,0,0,1294.705054521561,1294.2460613250732,0.8664943792911404,0.8664943792911404,0.8681385979818762,0.1340248584747314,-2,-2,-2,-2,0.8591844575527738,0.8591844575527738,0.8603448996736907,0.1325185745954513,-2,-2,-2,-2,11699,11699,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,9,0,No,0,0,1294.705054521561,1294.2460613250732,0.8664943792911404,0.8664943792911404,0.8681385979818762,0.1340248584747314,-2,-2,-2,-2,0.8591844575527738,0.8591844575527738,0.8603448996736907,0.1325185745954513,-2,-2,-2,-2,11699,23497,Run-CAAFE,0,Gas-Drift,4
oml_dataset_34_rnc,CAAFE,,gemini-1.5-pro-latest,RandomForest,multiclass,True,10,0,No,0,0,1294.705054521561,1294.2460613250732,0.8664943792911404,0.8664943792911404,0.8681385979818762,0.1340248584747314,-2,-2,-2,-2,0.8591844575527738,0.8591844575527738,0.8603448996736907,0.1325185745954513,-2,-2,-2,-2,11699,35395,Run-CAAFE,0,Gas-Drift,4
