dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,1,0,No,0.0808086395263671,11.104466438293455,12.367533922195436,0.2289257049560547,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,2,0,No,0.0808086395263671,12.77064085006714,24.45218539237976,0.2107479572296142,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,2836,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,3,0,No,0.0808086395263671,9.765314817428589,10.512507438659668,0.3746857643127441,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,4,0,No,0.0808086395263671,10.081186532974243,21.506114721298218,0.2215063571929931,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,2840,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,5,0,No,0.0808086395263671,8.903471231460571,9.308716297149658,0.2211549282073974,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,6,0,No,0.0808086395263671,9.00502610206604,9.79399800300598,0.4146268367767334,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,7,0,No,0.0808086395263671,11.005980730056764,22.35194516181945,0.3963687419891357,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,2843,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,8,0,No,0.0808086395263671,9.655333280563354,10.428349018096924,0.4130899906158447,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,9,0,No,0.0808086395263671,15.755017042160034,16.46184468269348,0.3725898265838623,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.994311658490763,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,10,0,No,0.0808086395263671,9.378620386123655,10.067963123321531,0.3244807720184326,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9745851163761612,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1527,1527,Run-Pipeline,0,Breast-w,1
