dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,1,0,No,0.0775306224822998,16.37568235397339,17.46403479576111,0.6108858585357666,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.8065881486934119,-2.0,-2.0,0.7566666666666667,0.8463157894736842,-2.0,-2,-2,3298,3298,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,2,0,No,0.0775306224822998,19.652066946029663,20.440038204193115,0.4322562217712402,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7946790052053211,-2.0,-2.0,0.7533333333333333,0.7257556935817805,-2.0,-2,-2,3298,3298,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,3,0,No,0.0354979038238525,18.826217889785767,36.25832200050354,0.3960027694702148,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7923392397076608,-2.0,-2.0,0.7466666666666667,0.7163810006761324,-2.0,-2,-2,3298,5865,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,4,0,No,0.0775306224822998,18.17059803009033,35.443501234054565,0.2848844528198242,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.7923392397076608,-2.0,-2.0,0.7466666666666667,0.7163810006761324,-2.0,-2,-2,3298,5867,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,5,0,No,0.0354979038238525,18.625778198242188,19.511398553848267,0.4665663242340088,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.782244071717756,-2.0,-2.0,0.7633333333333333,0.8459869848156182,-2.0,-2,-2,3298,3298,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,6,0,No,0.0354979038238525,18.867841243743896,36.08489108085632,0.2551150321960449,0.9693623987760552,-2.0,-2.0,0.9185714285714286,0.944390243902439,-2.0,-2,-2,0.7705978232294022,-2.0,-2.0,0.7433333333333333,0.8315098468271335,-2.0,-2,-2,3298,5863,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,7,0,No,0.0354979038238525,24.089696168899536,44.942176818847656,0.3446292877197265,0.9687484773774836,-2.0,-2.0,0.9014285714285716,0.8965750353792784,-2.0,-2,-2,0.7691256112308744,-2.0,-2.0,0.72,0.6907826086956522,-2.0,-2,-2,3298,5992,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,8,0,No,0.0775306224822998,23.00487971305847,41.60282826423645,0.2649233341217041,0.9684366442861458,-2.0,-2.0,0.9114285714285716,0.9077471979607904,-2.0,-2,-2,0.7633419212366581,-2.0,-2.0,0.7333333333333333,0.7127322012277765,-2.0,-2,-2,3298,5951,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,9,0,No,0.0364546775817871,19.739705324172974,20.25343894958496,0.2529172897338867,0.8732544655473158,-2.0,-2.0,0.9185714285714286,0.944390243902439,-2.0,-2,-2,0.6413586413586414,-2.0,-2.0,0.7466666666666667,0.8333333333333334,-2.0,-2,-2,3298,3298,Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gemini-1.5-pro-latest,Auto,binary,True,10,0,No,0.0354979038238525,16.96649432182312,201.81481766700745,0.3605272769927978,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2,-2,0.57736999842263,-2.0,-2.0,0.7266666666666667,0.8298755186721992,-2.0,-2,-2,3298,27704,Run-Pipeline,0,Credit-g,1
