dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,1,0,No,0.1196451187133789,23.27340507507324,34.431520223617554,9.948447227478027,-2.0,1.0,1.0,1.0,-2.0,0.0164708306746494,-2.0,-2.0,-2.0,0.9993713329493212,0.9993824027158636,0.9942487419122932,-2.0,0.068914602222588,-2.0,-2.0,7434,7434,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,2,0,No,0.1196451187133789,21.243889093399048,32.093563079833984,9.782032251358032,-2.0,1.0,1.0,1.0,-2.0,0.0164708306746494,-2.0,-2.0,-2.0,0.9993713329493212,0.9993824027158636,0.9942487419122932,-2.0,0.068914602222588,-2.0,-2.0,7434,7434,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,3,0,No,0.1196451187133789,18.387603998184204,29.20503258705139,9.784006118774414,-2.0,1.0,1.0,1.0,-2.0,0.0164708306746494,-2.0,-2.0,-2.0,0.9993713329493212,0.9993824027158636,0.9942487419122932,-2.0,0.068914602222588,-2.0,-2.0,7434,7434,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,4,0,No,0.1196451187133789,13.424468278884888,24.80400013923645,10.192938566207886,-2.0,1.0,1.0,1.0,-2.0,0.0164708306746494,-2.0,-2.0,-2.0,0.9993713329493212,0.9993824027158636,0.9942487419122932,-2.0,0.068914602222588,-2.0,-2.0,7434,7434,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,5,0,No,0.1196451187133789,14.178548812866213,25.446987867355347,10.108450174331663,-2.0,1.0,1.0,1.0,-2.0,0.0164708306746494,-2.0,-2.0,-2.0,0.9993713329493212,0.9993824027158636,0.9942487419122932,-2.0,0.068914602222588,-2.0,-2.0,7434,7434,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,6,0,No,0.1196451187133789,17.75411820411682,46.723307847976685,9.889870405197144,-2.0,1.0,1.0,1.0,-2.0,0.0164483027160353,-2.0,-2.0,-2.0,0.9992356809956288,0.9992411407415558,0.9944883776659478,-2.0,0.0771303228173194,-2.0,-2.0,7434,14991,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,7,0,No,0.1196451187133789,18.20582604408264,29.28902506828308,10.053241968154907,-2.0,1.0,1.0,1.0,-2.0,0.0162386475407534,-2.0,-2.0,-2.0,0.9990528362378388,0.9990674631898564,0.9940091061586388,-2.0,0.0843942176409923,-2.0,-2.0,7434,7434,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,8,0,No,0.1196451187133789,16.014775276184082,41.24600124359131,9.97360610961914,-2.0,1.0,1.0,1.0,-2.0,0.0163350689259934,-2.0,-2.0,-2.0,0.998925895123619,0.99893584597188,0.9947280134196022,-2.0,0.0920315695543643,-2.0,-2.0,7434,14975,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,9,0,No,0.1196451187133789,16.05192995071411,42.211241483688354,10.004103660583496,-2.0,1.0,1.0,1.0,-2.0,0.0163350689259934,-2.0,-2.0,-2.0,0.998925895123619,0.99893584597188,0.9947280134196022,-2.0,0.0920315695543643,-2.0,-2.0,7434,14967,Run-Pipeline,0,Gas-Drift,1
oml_dataset_34_rnc,CatDB,,gpt-4o,Auto,multiclass,True,10,0,No,0.1196451187133789,15.171771049499512,41.45091438293457,9.971459865570068,-2.0,1.0,1.0,1.0,-2.0,0.0163350689259934,-2.0,-2.0,-2.0,0.998925895123619,0.99893584597188,0.9947280134196022,-2.0,0.0920315695543643,-2.0,-2.0,7434,14944,Run-Pipeline,0,Gas-Drift,1
