dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,1,1,No,0.1091566085815429,22.435895442962646,124.36583018302916,21.82742929458618,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944902584876544,-2.0,-2.0,0.969825918762089,0.946058091286307,-2.0,-2.0,-2.0,5165,17418,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,2,0,No,0.1091566085815429,112.8074836730957,181.9723734855652,21.95477747917176,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944902584876544,-2.0,-2.0,0.969825918762089,0.946058091286307,-2.0,-2.0,-2.0,5165,11965,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,3,0,No,0.1091566085815429,23.279168367385864,102.88684153556824,22.204885005950928,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944902584876544,-2.0,-2.0,0.969825918762089,0.946058091286307,-2.0,-2.0,-2.0,5165,11974,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,4,0,No,0.1091566085815429,23.40770959854126,60.75915098190308,15.498368501663208,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944560296047964,-2.0,-2.0,0.9704061895551256,0.9472595656670114,-2.0,-2.0,-2.0,5165,10278,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,5,0,No,0.1091566085815429,24.3184871673584,83.62028574943542,15.856306791305542,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944560296047964,-2.0,-2.0,0.9704061895551256,0.9472595656670114,-2.0,-2.0,-2.0,5165,10291,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,6,0,No,0.1091566085815429,22.859745740890503,59.13668990135193,15.65984320640564,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944560296047964,-2.0,-2.0,0.9704061895551256,0.9703595167014732,-2.0,-2.0,-2.0,5165,10299,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,7,0,No,0.1091566085815429,29.19509768486023,70.64391756057739,15.695820093154907,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944560296047964,-2.0,-2.0,0.9704061895551256,0.9703595167014732,-2.0,-2.0,-2.0,5165,10302,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,8,0,No,0.1091566085815429,34.55118703842163,75.10619831085205,15.826690673828123,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944560296047964,-2.0,-2.0,0.9704061895551256,0.9472595656670114,-2.0,-2.0,-2.0,5165,10287,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,9,0,No,0.1091566085815429,31.752426624298096,76.96762752532959,21.484763622283936,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944244568093398,-2.0,-2.0,0.9703094777562864,0.9702452535811042,-2.0,-2.0,-2.0,5165,10264,Run-Pipeline,0,Nomao,1
oml_dataset_33_rnc,CatDB,,gpt-4o,Auto,binary,True,10,0,No,0.1091566085815429,23.01591682434082,87.2919340133667,21.80230164527893,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9942938927912588,-2.0,-2.0,0.970889748549323,0.9480765913403484,-2.0,-2.0,-2.0,5165,11965,Run-Pipeline,0,Nomao,1
