dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,1,3,No,0.391972541809082,19.49211359024048,561.8011701107025,27.45941638946533,-2.0,1.0,1.0,1.0,-2.0,0.0488403726195352,-2.0,-2.0,-2.0,0.9999927553487432,0.9999923795583672,0.9971988795518208,-2.0,0.1469111675458081,-2.0,-2.0,10034,220712,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,2,0,No,0.391972541809082,19.57588171958924,26.22125649452209,4.863327026367188,-2.0,1.0,1.0,1.0,-2.0,0.2268364154302055,-2.0,-2.0,-2.0,0.9219913892092478,0.9303416569882014,0.6644943691762419,-2.0,1.053427960703227,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,3,0,No,0.391972541809082,37.90286159515381,44.06610059738159,4.573699951171875,-2.0,1.0,1.0,1.0,-2.0,0.2252478704687617,-2.0,-2.0,-2.0,0.9215907883177245,0.9300308896786263,0.6619790773452238,-2.0,1.055728632343171,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,4,0,No,0.391972541809082,40.07360482215881,46.64688372612,4.875888109207153,-2.0,1.0,1.0,1.0,-2.0,0.2266322339021098,-2.0,-2.0,-2.0,0.9198012384296798,0.928443064338936,0.660035442748528,-2.0,1.0889802415465333,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,5,0,No,0.391972541809082,39.51752805709839,46.28690028190613,4.853483200073242,-2.0,1.0,1.0,1.0,-2.0,0.2266322339021098,-2.0,-2.0,-2.0,0.9198012384296798,0.928443064338936,0.660035442748528,-2.0,1.0889802415465333,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,6,0,No,0.391972541809082,42.25801491737366,87.86821722984314,41.4551215171814,-2.0,1.0,1.0,1.0,-2.0,0.2266322339021098,-2.0,-2.0,-2.0,0.9198012384296798,0.928443064338936,0.660035442748528,-2.0,1.0889802415465333,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,7,0,No,0.391972541809082,36.91834354400635,82.8639612197876,41.61365151405335,-2.0,1.0,1.0,1.0,-2.0,0.2266322339021098,-2.0,-2.0,-2.0,0.9198012384296798,0.928443064338936,0.660035442748528,-2.0,1.0889802415465333,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,8,0,No,0.391972541809082,37.66566586494446,82.99482369422913,41.05388140678406,-2.0,1.0,1.0,1.0,-2.0,0.2266322339021098,-2.0,-2.0,-2.0,0.9198012384296798,0.928443064338936,0.660035442748528,-2.0,1.0889802415465333,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,9,0,No,0.391972541809082,40.98599171638489,91.05189990997314,45.09339499473572,-2.0,1.0,1.0,1.0,-2.0,0.2266322339021098,-2.0,-2.0,-2.0,0.9198012384296798,0.928443064338936,0.660035442748528,-2.0,1.0889802415465333,-2.0,-2.0,10034,10034,Run-Pipeline,0,Volkert,1
oml_dataset_35_rnc,CatDB,,gemini-1.5-pro-latest,Auto,multiclass,True,10,0,No,0.391972541809082,28.24410510063172,525.1054298877716,5.1854469776153564,-2.0,1.0,1.0,1.0,-2.0,0.1254443431605935,-2.0,-2.0,-2.0,0.5860941828254848,0.6193047840232663,0.8154506437768241,-2.0,0.6655923482485249,-2.0,-2.0,10034,199930,Run-Pipeline,0,Volkert,1
