dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,1,1,No,0.0035905838012695,12.333423614501951,0.5252888202667236,0.4991464614868164,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7866081287133918,-2.0,-2.0,0.76,0.8454935622317596,-2.0,-2.0,-2.0,1690,1690,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,2,1,No,0.0035905838012695,14.2924644947052,0.4020800590515136,0.3764159679412842,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7402071612597929,-2.0,-2.0,0.7266666666666667,0.8193832599118943,-2.0,-2.0,-2.0,1713,1713,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,3,1,No,0.0035905838012695,21.31416392326355,0.3842544555664062,0.3587751388549804,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7219359587780642,-2.0,-2.0,0.7333333333333333,0.8214285714285714,-2.0,-2.0,-2.0,2080,2080,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,4,1,No,0.0035905838012695,24.542279481887817,0.3460438251495361,0.3220868110656738,0.9643146006100234,-2.0,-2.0,0.8971428571428571,0.9291338582677166,-2.0,-2.0,-2.0,0.7203060097796941,-2.0,-2.0,0.7166666666666667,0.8054919908466819,-2.0,-2.0,-2.0,1612,1612,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,5,1,No,0.0035905838012695,17.186167001724243,0.3692460060119629,0.3456966876983642,0.9643146006100234,-2.0,-2.0,0.8971428571428571,0.9291338582677166,-2.0,-2.0,-2.0,0.7203060097796941,-2.0,-2.0,0.7166666666666667,0.8054919908466819,-2.0,-2.0,-2.0,1676,1676,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,6,1,No,0.0035905838012695,17.31023120880127,0.3588345050811767,0.333092451095581,0.9643146006100234,-2.0,-2.0,0.8971428571428571,0.9291338582677166,-2.0,-2.0,-2.0,0.7203060097796941,-2.0,-2.0,0.7166666666666667,0.8054919908466819,-2.0,-2.0,-2.0,1619,1619,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,7,1,No,0.0035905838012695,18.7136492729187,0.723139762878418,0.6813168525695801,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7192281402807719,-2.0,-2.0,0.7,0.8155737704918032,-2.0,-2.0,-2.0,1659,1659,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,8,1,No,0.0035905838012695,14.938411474227903,0.4012238979339599,0.375781774520874,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7025343077974656,-2.0,-2.0,0.6833333333333333,0.7912087912087912,-2.0,-2.0,-2.0,1669,1669,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,9,1,No,0.0035905838012695,16.49970817565918,0.3409502506256103,0.3156049251556396,0.9631957459127548,-2.0,-2.0,0.9053571428571427,0.934487021013597,-2.0,-2.0,-2.0,0.6993269888006729,-2.0,-2.0,0.7166666666666667,0.806378132118451,-2.0,-2.0,-2.0,1680,1680,Gen-and-Run-Pipeline,0,Credit-g,2
oml_dataset_4_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,10,1,No,0.0035905838012695,16.096853256225586,0.7385530471801758,0.7147135734558105,0.9249846519650358,-2.0,-2.0,0.8442857142857143,0.8913260219341974,-2.0,-2.0,-2.0,0.6539776013460225,-2.0,-2.0,0.7066666666666667,0.8026905829596412,-2.0,-2.0,-2.0,1659,1659,Gen-and-Run-Pipeline,0,Credit-g,2
