dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,1,0,No,0.0342459678649902,10.06840467453,11.0903403759003,0.568952322006226,0.988072482605704,-2.0,-2.0,0.935817805383023,0.90032154340836,-2.0,-2.0,-2.0,0.78966867788716,-2.0,-2.0,0.716346153846154,0.562962962962963,-2.0,-2.0,-2.0,1541,1541,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,2,0,No,0.0342459678649902,9.70233035087585,10.7226669788361,0.565174579620361,0.989203354297694,-2.0,-2.0,0.937888198757764,0.903225806451613,-2.0,-2.0,-2.0,0.789562824176987,-2.0,-2.0,0.701923076923077,0.563380281690141,-2.0,-2.0,-2.0,1544,1544,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,3,0,No,0.0342459678649902,10.3966407775879,11.6334881782532,0.684025287628174,0.996767283349562,-2.0,-2.0,0.966873706004141,0.947712418300653,-2.0,-2.0,-2.0,0.785736628088833,-2.0,-2.0,0.706730769230769,0.561151079136691,-2.0,-2.0,-2.0,1531,1531,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,4,0,No,0.0342459678649902,15.7603554725647,16.8781607151032,0.627868175506592,0.995452775073028,-2.0,-2.0,0.962732919254658,0.940397350993378,-2.0,-2.0,-2.0,0.776575630252101,-2.0,-2.0,0.677884615384615,0.517985611510791,-2.0,-2.0,-2.0,1507,1507,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,5,0,No,0.0342459678649902,10.495493888855,11.2332904338837,0.442944526672363,0.994200755959275,-2.0,-2.0,0.962756052141527,0.945355191256831,-2.0,-2.0,-2.0,0.762251655629139,-2.0,-2.0,0.67965367965368,0.5375,-2.0,-2.0,-2.0,1427,1427,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,6,0,No,0.0342459678649902,11.8966956138611,13.2079923152924,0.73656702041626,0.997135527178735,-2.0,-2.0,0.975155279503106,0.961783439490446,-2.0,-2.0,-2.0,0.756107660455487,-2.0,-2.0,0.668269230769231,0.496350364963504,-2.0,-2.0,-2.0,1538,1538,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,7,0,No,0.0342459678649902,9.60326647758484,10.7795033454895,0.666504621505737,0.997000501523861,-2.0,-2.0,0.971014492753623,0.955128205128205,-2.0,-2.0,-2.0,0.755291419038682,-2.0,-2.0,0.677884615384615,0.510948905109489,-2.0,-2.0,-2.0,1535,1535,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,8,0,No,0.0342459678649902,7.60762357711792,8.83807897567749,0.702584505081177,0.999104186952288,-2.0,-2.0,0.98343685300207,0.974358974358974,-2.0,-2.0,-2.0,0.751995798319328,-2.0,-2.0,0.673076923076923,0.484848484848485,-2.0,-2.0,-2.0,1425,1425,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,9,0,No,0.0342459678649902,10.7029519081116,11.3382127285004,0.36042857170105,0.981276290922392,-2.0,-2.0,0.929236499068901,0.893258426966292,-2.0,-2.0,-2.0,0.706870860927152,-2.0,-2.0,0.675324675324675,0.482758620689655,-2.0,-2.0,-2.0,1383,1383,Run-Pipeline,0,Diabetes,2
oml_dataset_5_rnc,CatDBChain,ModelSelection,gpt-4o,Auto,binary,True,10,0,No,0.0342459678649902,10.7133486270905,61.103907585144,0.620445013046265,0.971300870383439,-2.0,-2.0,0.979296066252588,0.979187195299727,-2.0,-2.0,-2.0,0.681993535606298,-2.0,-2.0,0.711538461538462,0.713495741433441,-2.0,-2.0,-2.0,1769,7857,Run-Pipeline,0,Diabetes,2
