dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Accidents,1,str,0,954036,63,954036
Accidents,2,int,0,954036,56,954036
Accidents,3,int,0,954036,63,954036
Accidents,4,int,0,954036,116,954036
Accidents,5,int,0,954036,56,954036
Accidents,6,int,0,954036,3,954036
Accidents,7,int,0,954036,507604,954036
Accidents,8,date,0,954036,229026,954036
Accidents,9,str,0,954036,11,954036
Accidents,10,str,0,954036,5,954036
Accidents,11,str,0,954036,11,954036
Accidents,12,str,0,954036,8,954036
Accidents,13,str,0,954036,3,954036
Accidents,14,str,0,954036,11,954036
Accidents,15,int,0,954036,59,954036
Accidents,16,str,0,954036,9,954036
Accidents,17,int,0,954036,59,954036
Accidents,18,str,0,954036,2,954036
Accidents,19,int,0,954036,59,954036
Accidents,20,int,0,954036,63,954036
Accidents,21,int,0,954036,59,954036
Accidents,22,str,0,954036,10,954036
Accidents,23,str,0,954036,11,954036
Accidents,24,str,0,954036,59,954036
Accidents,25,str,0,954036,5986,954036
Accidents,26,str,0,954036,6,954036
Accidents,27,str,0,954036,11,954036
Accidents,28,str,0,954036,10,954036
Accidents,29,str,0,954036,9,954036
Accidents,30,str,43,953993,14,954036
Accidents,31,str,43,953993,6846,954036
Accidents,32,str,43,953993,7781,954036
Accidents,33,str,47,953989,8725,954036
Accidents,34,int,1334,952702,100,954036
Accidents,35,str,3857,950179,2,954036
Accidents,36,str,6008,948028,6,954036
Accidents,37,str,6008,948028,23,954036
Accidents,38,int,137695,816341,89978,954036
Accidents,39,float,137695,816341,168381,954036
Accidents,40,int,137695,816341,109882,954036
Accidents,41,float,137695,816341,159776,954036
Accidents,42,int,154508,799528,84,954036
Accidents,43,int,247210,706826,12,954036
Accidents,44,int,388561,565475,4217,954036
Accidents,45,float,407796,546240,383,954036
Accidents,46,float,409980,544056,436,954036
