dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
KDD98,1,int,0,82318,94,82318
KDD98,2,int,0,82318,32,82318
KDD98,3,int,0,82318,47,82318
KDD98,4,int,0,82318,66,82318
KDD98,5,int,0,82318,80,82318
KDD98,6,int,0,82318,28,82318
KDD98,7,int,0,82318,4338,82318
KDD98,8,int,0,82318,82,82318
KDD98,9,int,0,82318,80,82318
KDD98,10,int,0,82318,57,82318
KDD98,11,int,0,82318,98,82318
KDD98,12,int,0,82318,100,82318
KDD98,13,int,0,82318,86,82318
KDD98,14,int,0,82318,95,82318
KDD98,15,int,0,82318,100,82318
KDD98,16,int,0,82318,93,82318
KDD98,17,int,0,82318,28,82318
KDD98,18,int,0,82318,100,82318
KDD98,19,int,0,82318,97,82318
KDD98,20,int,0,82318,100,82318
KDD98,21,int,0,82318,99,82318
KDD98,22,int,0,82318,96,82318
KDD98,23,int,0,82318,99,82318
KDD98,24,int,0,82318,81,82318
KDD98,25,int,0,82318,204,82318
KDD98,26,int,0,82318,100,82318
KDD98,27,int,0,82318,33,82318
KDD98,28,int,0,82318,64,82318
KDD98,29,int,0,82318,9492,82318
KDD98,30,int,0,82318,65,82318
KDD98,31,int,0,82318,58,82318
KDD98,32,int,0,82318,6,82318
KDD98,33,int,0,82318,24,82318
KDD98,34,int,0,82318,89,82318
KDD98,35,int,0,82318,100,82318
KDD98,36,int,0,82318,54,82318
KDD98,37,int,0,82318,18,82318
KDD98,38,int,0,82318,26,82318
KDD98,39,int,0,82318,76,82318
KDD98,40,int,0,82318,14,82318
KDD98,41,int,0,82318,381,82318
KDD98,42,int,0,82318,44,82318
KDD98,43,int,0,82318,100,82318
KDD98,44,int,0,82318,51,82318
KDD98,45,int,0,82318,1080,82318
KDD98,46,int,0,82318,100,82318
KDD98,47,int,0,82318,37,82318
KDD98,48,int,0,82318,56,82318
KDD98,49,int,0,82318,22,82318
KDD98,50,int,0,82318,100,82318
KDD98,51,int,0,82318,55,82318
KDD98,52,int,0,82318,97,82318
KDD98,53,int,0,82318,100,82318
KDD98,54,int,0,82318,81,82318
KDD98,55,int,0,82318,19,82318
KDD98,56,int,0,82318,90,82318
KDD98,57,int,0,82318,99,82318
KDD98,58,int,0,82318,51,82318
KDD98,59,int,0,82318,34,82318
KDD98,60,int,0,82318,69,82318
KDD98,61,int,0,82318,100,82318
KDD98,62,int,0,82318,100,82318
KDD98,63,int,0,82318,100,82318
KDD98,64,int,0,82318,77,82318
KDD98,65,int,0,82318,96,82318
KDD98,66,int,0,82318,83,82318
KDD98,67,int,0,82318,58,82318
KDD98,68,int,0,82318,50,82318
KDD98,69,int,0,82318,100,82318
KDD98,70,int,0,82318,73,82318
