dataset_name,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
Yelp,1,int,0,229907,5,229907
Yelp,2,str,0,229907,45981,229907
Yelp,3,str,0,229907,229907,229907
Yelp,4,int,0,229907,49,229907
Yelp,5,str,0,229907,11537,229907
Yelp,6,int,0,229907,293,229907
Yelp,7,int,0,229907,53,229907
Yelp,8,int,0,229907,53,229907
Yelp,9,date,0,229907,2504,229907
Yelp,10,str,0,229907,229660,229907
Yelp,11,bool,0,229907,2,229907
Yelp,12,str,0,229907,8315,229907
Yelp,13,float,0,229907,8701,229907
Yelp,14,float,0,229907,9,229907
Yelp,15,float,0,229907,8764,229907
Yelp,16,str,0,229907,4,229907
Yelp,17,str,0,229907,61,229907
Yelp,18,str,0,229907,10337,229907
Yelp,19,str,777,229130,2060,229907
Yelp,20,int,14028,215879,1027,229907
Yelp,21,int,14028,215879,1116,229907
Yelp,22,str,14028,215879,8323,229907
Yelp,23,int,14028,215879,1329,229907
Yelp,24,int,14028,215879,853,229907
Yelp,25,float,14028,215879,331,229907
Yelp,26,int,16395,213512,21,229907
Yelp,27,int,16395,213512,19,229907
Yelp,28,int,16395,213512,22,229907
Yelp,29,int,16395,213512,24,229907
Yelp,30,int,16395,213512,18,229907
Yelp,31,int,16395,213512,43,229907
Yelp,32,int,16395,213512,33,229907
Yelp,33,int,16395,213512,38,229907
Yelp,34,int,16395,213512,43,229907
Yelp,35,int,16395,213512,38,229907
Yelp,36,int,16395,213512,12,229907
Yelp,37,int,16395,213512,12,229907
Yelp,38,int,16395,213512,20,229907
Yelp,39,int,16395,213512,31,229907
Yelp,40,int,16395,213512,30,229907
Yelp,41,int,16395,213512,31,229907
Yelp,42,int,16395,213512,7,229907
Yelp,43,int,16395,213512,11,229907
Yelp,44,int,16395,213512,27,229907
Yelp,45,int,16395,213512,35,229907
Yelp,46,int,16395,213512,26,229907
Yelp,47,int,16395,213512,17,229907
Yelp,48,int,16395,213512,13,229907
Yelp,49,int,16395,213512,49,229907
Yelp,50,int,16395,213512,7,229907
Yelp,51,int,16395,213512,30,229907
Yelp,52,int,16395,213512,43,229907
Yelp,53,int,16395,213512,42,229907
Yelp,54,int,16395,213512,36,229907
Yelp,55,int,16395,213512,40,229907
Yelp,56,int,16395,213512,4,229907
Yelp,57,int,16395,213512,11,229907
Yelp,58,int,16395,213512,41,229907
Yelp,59,int,16395,213512,21,229907
Yelp,60,int,16395,213512,47,229907
Yelp,61,int,16395,213512,15,229907
Yelp,62,int,16395,213512,7,229907
Yelp,63,int,16395,213512,13,229907
Yelp,64,int,16395,213512,52,229907
Yelp,65,int,16395,213512,20,229907
Yelp,66,int,16395,213512,33,229907
Yelp,67,int,16395,213512,33,229907
Yelp,68,int,16395,213512,23,229907
Yelp,69,int,16395,213512,48,229907
Yelp,70,int,16395,213512,20,229907
Yelp,71,int,16395,213512,14,229907
Yelp,72,int,16395,213512,51,229907
Yelp,73,int,16395,213512,39,229907
Yelp,74,int,16395,213512,44,229907
Yelp,75,int,16395,213512,8,229907
Yelp,76,int,16395,213512,19,229907
Yelp,77,int,16395,213512,41,229907
Yelp,78,int,16395,213512,45,229907
Yelp,79,int,16395,213512,17,229907
Yelp,80,int,16395,213512,44,229907
Yelp,81,int,16395,213512,6,229907
Yelp,82,int,16395,213512,45,229907
Yelp,83,int,16395,213512,13,229907
Yelp,84,int,16395,213512,43,229907
Yelp,85,int,16395,213512,55,229907
Yelp,86,int,16395,213512,5,229907
Yelp,87,int,16395,213512,47,229907
Yelp,88,int,16395,213512,8,229907
Yelp,89,int,16395,213512,12,229907
Yelp,90,int,16395,213512,13,229907
Yelp,91,int,16395,213512,20,229907
Yelp,92,int,16395,213512,29,229907
Yelp,93,int,16395,213512,24,229907
Yelp,94,int,16395,213512,29,229907
Yelp,95,int,16395,213512,53,229907
Yelp,96,int,16395,213512,30,229907
