dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.1_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,34,47.34675288200378,-2,0.9279481883270456,0.9381946772526936,-2.0,-2,,-2,0.6165841763438555,-2,0.8753199442068205,0.8896919515390538,-2.0,-2,,-2,0.6557017445222818,0,0,Run-AutoML,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.2_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,98,111.69315075874329,-2,0.9727035933657358,0.9749088951520568,-2.0,-2,,-2,0.4297002016732502,-2,0.874740942489721,0.8899497925526274,-2.0,-2,,-2,0.6153496031071602,0,0,Run-AutoML,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.3_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,138,149.74048399925232,-2,0.8164212480437077,0.8310279324501554,-2.0,-2,,-2,0.8651739120369454,-2,0.7469799461297532,0.7656385036151582,-2.0,-2,,-2,0.8698886444344306,0,0,Run-AutoML,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.4_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,6,20.864402294158936,-2,0.7905536176377228,0.8100630592102089,-2.0,-2,,-2,0.8696127133573128,-2,0.7271398801146479,0.7480160432093783,-2.0,-2,,-2,0.8723201628076469,0,0,Run-AutoML,0
gen_dataset_54-out-0.05-np-1-nc-180-mv-0.5_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,17,29.928016662597656,-2,0.9312671153731386,0.9412374590443856,-2.0,-2,,-2,0.6250488019391768,-2,0.8244574709660538,0.8448527459891544,-2.0,-2,,-2,0.7012344302339677,0,0,Run-AutoML,0
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,3,16.057597398757935,-2,0.8622568142018161,0.8786701502499328,-2.0,-2,,-2,0.8186308475950701,-2,0.8212780141661741,0.8401119034027561,-2.0,-2,,-2,0.8247735642891292,0,0,Run-AutoML,0
gen_dataset_54-out-0.01-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,3,7.11032772064209,-2,0.9463553580963264,0.9498450470669024,0.6624200700688438,-2,-2.0,-2,-2.0,-2,0.7884873369060263,0.7942964679049471,0.5292402675355856,-2,-2.0,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_54-out-0.02-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,1,13.437681198120115,-2,0.8588526721486899,0.8749222175043853,-2.0,-2,,-2,0.8187170796218135,-2,0.8188483128712798,0.8363729521898307,-2.0,-2,,-2,0.8250947711242189,0,0,Run-AutoML,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,AutoSklearn,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,48,58.72897267341614,-2,0.9460052029196144,0.943113276771076,0.6067324889139329,-2,1.2994681446392706,-2,-2.0,-2,0.8813038039892551,0.8831427256405933,0.5107757388669754,-2,1.450117502729355,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,48,61.18319344520569,-2,0.8011143004521112,0.8229215666625921,-2.0,-2,,-2,0.728925617581186,-2,0.7892363642817591,0.8107948768849603,-2.0,-2,,-2,0.7335551971783484,0,0,Run-AutoML,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,Flaml,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,48,95.66398930549622,-2,0.9901762218358864,0.9894303442247212,0.8704216380429723,-2,0.4570767148147594,-2,-2.0,-2,0.9199071420256528,0.9261849308037876,0.6552906877036528,-2,0.9960188609164904,-2,-2.0,0,0,Run-AutoML,0
gen_dataset_54-out-0.03-np-0-nc-0-mv-0_rnc,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,48,63.10127568244934,-2,0.0301863744215418,0.0284398465714228,2.4499595756670014e-05,-2,-2.0,-2,-2.0,-2,0.109904671982649,0.1073076412184574,0.0021722974904247,-2,-2.0,-2,-2.0,0,0,Run-AutoML,0
