dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,1,0,No,0,0,184.66610860824585,184.6487946510315,0.8960505795405401,0.8960505795405401,0.8960505795405401,0.8080856531858445,-2,-2,-2,-2,0.8533392625802201,0.8533392625802201,0.8533392625802201,0.7681341737508773,-2,-2,-2,-2,1136,1136,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,2,0,No,0,0,184.66610860824585,184.6487946510315,0.904248267149384,0.904248267149384,0.904248267149384,0.8119167387485504,-2,-2,-2,-2,0.8582825105105135,0.8582825105105135,0.8582825105105135,0.7727638006210327,-2,-2,-2,-2,1136,2453,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,3,0,No,0,0,184.66610860824585,184.6487946510315,0.9012343969404784,0.9012343969404784,0.9012343969404784,0.810881969332695,-2,-2,-2,-2,0.856617687788065,0.856617687788065,0.856617687788065,0.7746156573295593,-2,-2,-2,-2,1136,3889,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,4,0,No,0,0,184.66610860824585,184.6487946510315,0.925593334080939,0.925593334080939,0.925593334080939,0.8397483438253402,-2,-2,-2,-2,0.8575145579256173,0.8575145579256173,0.8575145579256173,0.7792976945638657,-2,-2,-2,-2,1136,5448,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,5,0,No,0,0,184.66610860824585,184.6487946510315,0.9158992740525912,0.9158992740525912,0.9158992740525912,0.8307440549135208,-2,-2,-2,-2,0.8561383804663422,0.8561383804663422,0.8561383804663422,0.7736722588539123,-2,-2,-2,-2,1136,7171,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,6,0,No,0,0,184.66610860824585,184.6487946510315,0.9182257465187844,0.9182257465187844,0.9182257465187844,0.8279507398605347,-2,-2,-2,-2,0.8592762882160228,0.8592762882160228,0.8592762882160228,0.7801886826753617,-2,-2,-2,-2,1136,9057,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,7,0,No,0,0,184.66610860824585,184.6487946510315,0.9262411971066268,0.9262411971066268,0.9262411971066268,0.8371620595455169,-2,-2,-2,-2,0.8601050997840408,0.8601050997840408,0.8601050997840408,0.7848183065652847,-2,-2,-2,-2,1136,11110,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,8,0,No,0,0,184.66610860824585,184.6487946510315,0.920043951177375,0.920043951177375,0.920043951177375,0.8287808179855347,-2,-2,-2,-2,0.8616383751842408,0.8616383751842408,0.8616383751842408,0.7829839259386062,-2,-2,-2,-2,1136,13332,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,9,0,No,0,0,184.66610860824585,184.6487946510315,0.9218316282333466,0.9218316282333466,0.9218316282333466,0.8289887130260467,-2,-2,-2,-2,0.8597095149588647,0.8597095149588647,0.8597095149588647,0.7811146050691604,-2,-2,-2,-2,1136,15735,Run-CAAFE,0,Diabetes,3
oml_dataset_5_rnc,CAAFE,,gpt-4o,TabPFN,binary,True,10,0,No,0,0,184.66610860824585,184.6487946510315,0.920210468947286,0.920210468947286,0.920210468947286,0.8280570417642593,-2,-2,-2,-2,0.8601193829959198,0.8601193829959198,0.8601193829959198,0.7839098542928695,-2,-2,-2,-2,1136,18320,Run-CAAFE,0,Diabetes,3
