dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,1,0,No,0,0,2606.3323352336884,2604.167514324188,0.694748820733089,0.694748820733089,0.7110737572262127,0.3922099456191062,-2,-2,-2,-2,0.6940463201359306,0.6940463201359306,0.7104962197530394,0.3919078230857849,-2,-2,-2,-2,12834,12834,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,2,0,No,0,0,2606.3323352336884,2604.167514324188,0.6812504364346511,0.6812504364346511,0.6999998872308221,0.3918397337198257,-2,-2,-2,-2,0.6807900265571636,0.6807900265571636,0.6995262949553156,0.391638320684433,-2,-2,-2,-2,12834,25841,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,3,0,No,0,0,2606.3323352336884,2604.167514324188,0.6911021225960663,0.6911021225960663,0.7061241097309301,0.3918996199965477,-2,-2,-2,-2,0.6903501761222584,0.6903501761222584,0.7054522731343262,0.3916505560278892,-2,-2,-2,-2,12834,39004,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,4,0,No,0,0,2606.3323352336884,2604.167514324188,0.7025367433124333,0.7025367433124333,0.7156759853109229,0.3916083469986915,-2,-2,-2,-2,0.701897234980688,0.701897234980688,0.715201915355052,0.3913565769791603,-2,-2,-2,-2,12834,52324,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,5,0,No,0,0,2606.3323352336884,2604.167514324188,0.6995706458547032,0.6995706458547032,0.7161714266375995,0.3928401336073875,-2,-2,-2,-2,0.6988988293153698,0.6988988293153698,0.7156430823839519,0.3924100413918495,-2,-2,-2,-2,12834,65812,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,6,0,No,0,0,2606.3323352336884,2604.167514324188,0.6860735477568174,0.6860735477568174,0.7025978150508583,0.3924699157476425,-2,-2,-2,-2,0.6852157212182352,0.6852157212182352,0.7019954078688903,0.3923365727066993,-2,-2,-2,-2,12834,79457,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,7,0,No,0,0,2606.3323352336884,2604.167514324188,0.6896846765959926,0.6896846765959926,0.7079383675182631,0.3924944147467613,-2,-2,-2,-2,0.6892470106720407,0.6892470106720407,0.7075332642301093,0.392250856757164,-2,-2,-2,-2,12834,93265,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,8,0,No,0,0,2606.3323352336884,2604.167514324188,0.6969323338468587,0.6969323338468587,0.7109286843502746,0.3921282812952995,-2,-2,-2,-2,0.6964168689152489,0.6964168689152489,0.7107446870684869,0.3918465882539749,-2,-2,-2,-2,12834,107284,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,9,0,No,0,0,2606.3323352336884,2604.167514324188,0.6820510961116097,0.6820510961116097,0.7018059495195679,0.3912939354777336,-2,-2,-2,-2,0.681199175438451,0.681199175438451,0.7010815045860708,0.3911116078495979,-2,-2,-2,-2,12834,121460,Run-CAAFE,0,Volkert,4
oml_dataset_35_rnc,CAAFE,,gpt-4o,RandomForest,multiclass,True,10,0,No,0,0,2606.3323352336884,2604.167514324188,0.6707913114831567,0.6707913114831567,0.6920686131421319,0.3922603070735931,-2,-2,-2,-2,0.6701406640225352,0.6701406640225352,0.6913988122659422,0.3919445589184761,-2,-2,-2,-2,12834,135794,Run-CAAFE,0,Volkert,4
