dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,1,2,No,0.009580373764038,15.04230523109436,11.507455348968506,0.378767728805542,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7893422367106577,-2.0,-2.0,0.74,0.8347457627118644,-2.0,-2.0,-2.0,1731,3428,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,2,2,No,0.009580373764038,14.999415159225464,17.075030088424683,0.3772609233856201,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7893422367106577,-2.0,-2.0,0.74,0.8347457627118644,-2.0,-2.0,-2.0,1731,3385,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,3,2,No,0.009580373764038,28.596985340118408,11.86768651008606,0.3811683654785156,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7893422367106577,-2.0,-2.0,0.74,0.8347457627118644,-2.0,-2.0,-2.0,1731,3392,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,4,2,No,0.009580373764038,22.206790447235107,13.186514616012571,0.3776459693908691,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7893422367106577,-2.0,-2.0,0.74,0.8347457627118644,-2.0,-2.0,-2.0,1731,3385,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,5,5,No,0.009580373764038,27.125706672668457,57.54300928115845,0.2629165649414062,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7801409117198591,-2.0,-2.0,0.74,0.8340425531914893,-2.0,-2.0,-2.0,1731,8488,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,6,2,No,0.009580373764038,20.43620252609253,11.297663688659668,0.2437751293182373,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7715705347284295,-2.0,-2.0,0.74,0.8304347826086956,-2.0,-2.0,-2.0,1731,3460,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,7,2,No,0.009580373764038,14.896255493164062,14.196816682815552,0.2510182857513428,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7715705347284295,-2.0,-2.0,0.74,0.8304347826086956,-2.0,-2.0,-2.0,1731,3444,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,8,2,No,0.009580373764038,20.60880398750305,14.552388906478882,0.2454707622528076,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.7715705347284295,-2.0,-2.0,0.74,0.8304347826086956,-2.0,-2.0,-2.0,1731,3460,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,9,2,No,0.009580373764038,9.648311138153076,25.36541247367859,0.2319176197052002,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6272674693727325,-2.0,-2.0,0.74,0.8304347826086956,-2.0,-2.0,-2.0,1731,3446,Gen-and-Run-Pipeline,0,Credit-g,1
oml_dataset_4_rnc,CatDB,,gpt-4o,Auto,binary,True,10,2,No,0.009580373764038,18.124204874038696,21.88029289245605,0.2265522480010986,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.6272674693727325,-2.0,-2.0,0.74,0.8304347826086956,-2.0,-2.0,-2.0,1731,3450,Gen-and-Run-Pipeline,0,Credit-g,1
