dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples
oml_dataset_1_rnc,H2O,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,14,25.26225256919861,-2.0,1.0,1.0,-2.0,-2.0,,-2.0,0.1416586728360141,-2.0,0.7631828703703704,0.785146072317816,-2.0,-2.0,,-2.0,0.4021363221691175,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,14,15.081153869628906,-2.0,0.921166012899884,0.938173039610006,0.8787185354691075,-2.0,0.5996931035919048,-2.0,-2.0,-2.0,0.8203677983539094,0.839591901575445,0.8085106382978723,-2.0,0.7161751295492622,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,gemini-1.5-pro-latest,,multiclass,True,1,0,No,0,0,14,23.403490781784058,-2.0,0.9988455951157564,0.9991588623276249,0.9839816933638444,-2.0,-2.0,-2.0,-2.0,-2.0,0.9902906378600824,0.991112000355698,0.9148936170212766,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,H2O,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,14,22.7688205242157,-2.0,0.9718516064282192,0.9812125944272548,-2.0,-2.0,,-2.0,0.2766299503075362,-2.0,0.9411548353909464,0.9549646710536068,-2.0,-2.0,,-2.0,0.3120930879565452,0,0,Run-AutoML,0
oml_dataset_1_rnc,Flaml,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,14,15.406686544418337,-2.0,0.921166012899884,0.938173039610006,0.8787185354691075,-2.0,0.5996931035919048,-2.0,-2.0,-2.0,0.8203677983539094,0.839591901575445,0.8085106382978723,-2.0,0.7161751295492622,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_1_rnc,Autogluon,,llama3-70b-8192,,multiclass,True,1,0,No,0,0,14,24.01208758354187,-2.0,0.9988455951157564,0.9991588623276249,0.9839816933638444,-2.0,-2.0,-2.0,-2.0,-2.0,0.9902906378600824,0.991112000355698,0.9148936170212766,-2.0,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,H2O,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,14,23.86842107772827,0.9945995256340084,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1593365551311013,0.9977037887485648,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1505102793640383,0,0,Run-AutoML,0
oml_dataset_2_rnc,Flaml,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,14,14.313247442245483,0.9946725050173326,-2.0,-2.0,0.9693251533742332,0.969344716325056,-2.0,-2.0,-2.0,0.9946769648262186,-2.0,-2.0,0.9714285714285714,0.9714285714285714,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,Autogluon,,gemini-1.5-pro-latest,,binary,True,1,0,No,0,0,14,14.695681095123293,0.9970990695128626,-2.0,-2.0,0.9693251533742332,0.9572649572649572,-2.0,-2.0,-2.0,0.9966600563615488,-2.0,-2.0,0.9714285714285714,0.9552238805970148,-2.0,-2.0,-2.0,0,0,Run-AutoML,0
oml_dataset_2_rnc,H2O,,llama3-70b-8192,,binary,True,1,0,No,0,0,14,23.215692043304443,0.9945995256340084,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1593365551311013,0.9977037887485648,-2.0,-2.0,-2.0,-2.0,,-2.0,0.1505102793640383,0,0,Run-AutoML,0
