dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,1,0,No,0,0,649.746510696411,649.746510696411,0.920259637887444,0.961259637887444,0.926259637887444,0.111295337602496,-2,-2,-2,-2,0.930895277309059,0.960895277309059,0.930895277309059,0.112144735082984,-2,-2,-2,-2,9187,9187,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,2,0,No,0,0,649.746510696411,649.746510696411,0.918744772793503,0.959744772793503,0.924744772793503,0.141455376893282,-2,-2,-2,-2,0.929290781929555,0.959290781929555,0.929290781929555,0.141719912737608,-2,-2,-2,-2,9187,18747,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,3,0,No,0,0,649.746510696411,649.746510696411,0.921100314183436,0.962100314183436,0.927100314183436,0.096227978169918,-2,-2,-2,-2,0.931717436461861,0.961717436461861,0.931717436461861,0.0969531837850809,-2,-2,-2,-2,9187,28388,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,4,0,No,0,0,649.746510696411,649.746510696411,0.911910709093788,0.952910709093788,0.917910709093788,0.117386279255152,-2,-2,-2,-2,0.922628975394011,0.952628975394011,0.922628975394011,0.117637088149786,-2,-2,-2,-2,9187,38110,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,6,0,No,0,0,649.746510696411,649.746510696411,0.911910709093788,0.952910709093788,0.917910709093788,0.117386279255152,-2,-2,-2,-2,0.922628975394011,0.952628975394011,0.922628975394011,0.117637088149786,-2,-2,-2,-2,9187,58059,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,7,0,No,0,0,649.746510696411,649.746510696411,0.911910709093788,0.952910709093788,0.917910709093788,0.117386279255152,-2,-2,-2,-2,0.922628975394011,0.952628975394011,0.922628975394011,0.117637088149786,-2,-2,-2,-2,9187,68287,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,8,0,No,0,0,649.746510696411,649.746510696411,0.921014818021028,0.962014818021028,0.927014818021028,0.096310880407691,-2,-2,-2,-2,0.931617094911594,0.961617094911594,0.931617094911594,0.0969738781452178,-2,-2,-2,-2,9187,78615,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,9,0,No,0,0,649.746510696411,649.746510696411,0.911910709093788,0.952910709093788,0.917910709093788,0.117386279255152,-2,-2,-2,-2,0.922628975394011,0.952628975394011,0.922628975394011,0.117637088149786,-2,-2,-2,-2,9187,89023,Run-CAAFE
oml_dataset_33_rnc,CAAFE,,llama3-70b-8192,RandomForest,binary,True,10,0,No,0,0,649.746510696411,649.746510696411,0.911910709093788,0.952910709093788,0.917910709093788,0.117386279255152,-2,-2,-2,-2,0.922628975394011,0.952628975394011,0.922628975394011,0.117637088149786,-2,-2,-2,-2,9187,99569,Run-CAAFE
oml_dataset_34_rnc,CAAFE,,llama3-70b-8192,RandomForest,multiclass,True,1,0,No,0,0,1250.63691797256,1250.63691797256,0.833439997216191,0.874439997216192,0.839420210056659,0.132615579664707,-2,-2,-2,-2,0.843084025984421,0.873084025984421,0.843088802431061,0.132486268505454,-2,-2,-2,-2,11465,11465,Run-CAAFE
