dataset,llm_model,prompt_representation_type,prompt_example_type,prompt_number_example,task_type,time
,gpt-4,CatDB,Random,0,binary,2028838
,gpt-4,CatDB,Random,0,binary,43246816
,gpt-4,CatDB,Random,0,binary,3624361
,gpt-4,CatDB,Random,0,binary,77640
,gpt-4,CatDB,Random,0,multiclass,219586
,gpt-4,CatDB,Random,0,multiclass,557760
,gpt-4,CatDB,Random,0,multiclass,107513
,gpt-4,CatDB,Random,0,multiclass,26559
,gpt-4,CatDB,Random,0,multiclass,606964
,gpt-4,CatDB,Random,0,regression,397796355
,gpt-4,CatDB,Random,0,regression,660155
,gpt-4,CatDB,Random,0,regression,158417
,gpt-4,CatDB,Random,0,regression,3322303
,gpt-4,CatDB,Random,0,regression,43746
