dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
Albert,1,int,No,0,425240,10230,425240
Albert,2,int,No,0,425240,10227,425240
Albert,3,int,No,0,425240,229,425240
Albert,4,int,No,0,425240,10,425240
Albert,5,int,No,0,425240,545,425240
Albert,6,int,No,0,425240,22358,425240
Albert,7,int,No,0,425240,26,425240
Albert,8,int,No,0,425240,544,425240
Albert,9,int,No,0,425240,957,425240
Albert,10,int,No,0,425240,545,425240
Albert,11,int,No,0,425240,22371,425240
Albert,12,int,No,0,425240,14,425240
Albert,13,int,No,0,425240,3103,425240
Albert,14,int,No,0,425240,227,425240
Albert,15,int,No,0,425240,3,425240
Albert,16,int,No,0,425240,26,425240
Albert,17,int,No,0,425240,26,425240
Albert,18,int,No,0,425240,225,425240
Albert,19,int,No,0,425240,4566,425240
Albert,20,int,No,0,425240,225,425240
Albert,21,int,No,0,425240,3098,425240
Albert,22,int,No,0,425240,7786,425240
Albert,23,int,No,0,425240,10235,425240
Albert,24,int,No,0,425240,3539,425240
Albert,25,int,No,0,425240,220,425240
Albert,26,float,No,0,425240,3949,425240
Albert,27,bool,No,0,425240,2,425240
Albert,28,int,No,0,425240,3103,425240
Albert,29,int,No,0,425240,7774,425240
Albert,30,int,No,0,425240,3099,425240
Albert,31,int,No,0,425240,546,425240
Albert,32,int,No,0,425240,14,425240
Albert,33,int,No,0,425240,10,425240
Albert,34,int,No,0,425240,442,425240
Albert,35,int,No,190,425050,174,425240
Albert,36,int,No,193,425047,169,425240
Albert,37,int,No,8454,416786,47036,425240
Albert,38,int,No,15005,410235,121504,425240
Albert,39,int,No,15078,410162,121478,425240
Albert,40,int,No,15078,410162,170907,425240
Albert,41,int,No,15078,410162,139751,425240
Albert,42,int,No,15078,410162,153819,425240
Albert,43,int,No,15078,410162,27265,425240
Albert,44,int,No,15078,410162,74499,425240
Albert,45,int,No,15089,410151,27181,425240
Albert,46,int,No,15123,410117,170897,425240
Albert,47,int,No,15684,409556,118,425240
Albert,48,float,No,15723,409517,1161,425240
Albert,49,int,No,15770,409470,117,425240
Albert,50,float,No,15770,409470,1149,425240
Albert,51,int,No,15770,409470,2492,425240
Albert,52,int,No,15773,409467,117,425240
Albert,53,float,No,15814,409426,1132,425240
Albert,54,int,No,15852,409388,118,425240
Albert,55,float,No,15875,409365,1151,425240
Albert,56,int,No,39010,386230,26342,425240
Albert,57,int,No,39101,386139,26380,425240
Albert,58,int,No,50089,375151,13,425240
Albert,59,int,No,50135,375105,13,425240
Albert,60,int,No,79253,345987,2783,425240
Albert,61,int,No,79362,345878,2766,425240
Albert,62,int,No,96050,329190,236,425240
Albert,63,float,No,96050,329190,122,425240
Albert,64,int,No,98508,326732,1218,425240
Albert,65,int,No,176110,249130,233,425240
Albert,66,float,No,176110,249130,10,425240
Albert,67,float,No,176385,248855,10,425240
Albert,68,int,No,192501,232739,61,425240
Albert,69,int,No,192652,232588,3,425240
Albert,70,int,No,192674,232566,59,425240
Albert,71,int,No,192700,232540,60,425240
Albert,72,int,No,192700,232540,1654,425240
Albert,73,int,No,192700,232540,3,425240
Albert,74,int,No,318809,106431,10,425240
Albert,75,int,No,320924,104316,132,425240
Albert,76,int,No,320967,104273,132,425240
Albert,77,int,No,321059,104181,136,425240
Albert,78,int,No,321145,104095,136,425240
Albert,79,int,No,321209,104031,133,425240
