dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
BNG_heart-statlog,binary,gpt-4-turbo,No,S,Random,0,1098,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SDVC,Random,0,1194,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SMVF,Random,0,1240,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SSN,Random,0,1375,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SCV,Random,0,1178,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SDVCMVF,Random,0,1354,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SDVCSN,Random,0,1475,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SMVFSN,Random,0,1520,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SMVFCV,Random,0,1323,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,SSNCV,Random,0,1459,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,ALL,Random,0,1609,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,No,CatDB,Random,0,1612,3,4,6,1
BNG_heart-statlog,binary,gpt-4-turbo,no,CAAFE,Random,10,14260,0,0,0,0
