dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Higgs,binary,gpt-4-turbo,Yes,S,Random,0,1585,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SDVC,Random,0,1778,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SMVF,Random,0,1862,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SSN,Random,0,2538,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SCV,Random,0,1776,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SDVCMVF,Random,0,2088,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SDVCSN,Random,0,2735,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SMVFSN,Random,0,2818,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SMVFCV,Random,0,2056,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,SSNCV,Random,0,2733,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,ALL,Random,0,3040,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,CatDB,Random,0,3009,1,0,28,0
Higgs,binary,gpt-4-turbo,No,S,Random,0,1178,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SDVC,Random,0,1371,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SMVF,Random,0,1455,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SSN,Random,0,2131,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SCV,Random,0,1369,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SDVCMVF,Random,0,1681,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SDVCSN,Random,0,2328,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SMVFSN,Random,0,2411,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SMVFCV,Random,0,1649,1,0,28,0
Higgs,binary,gpt-4-turbo,No,SSNCV,Random,0,2326,1,0,28,0
Higgs,binary,gpt-4-turbo,No,ALL,Random,0,2633,1,0,28,0
Higgs,binary,gpt-4-turbo,No,CatDB,Random,0,2602,1,0,28,0
Higgs,binary,gpt-4-turbo,yes,CAAFE,Random,10,28650,0,0,0,0
Higgs,binary,gpt-4-turbo,no,CAAFE,Random,10,24720,0,0,0,0
