dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
Higgs,1,bool,No,0,11000000,2,11000000
Higgs,2,float,No,0,11000000,6284,11000000
Higgs,3,float,No,0,11000000,3,11000000
Higgs,4,float,No,0,11000000,1127135,11000000
Higgs,5,float,No,0,11000000,691289,11000000
Higgs,6,float,No,0,11000000,37793,11000000
Higgs,7,float,No,0,11000000,344267,11000000
Higgs,8,float,No,0,11000000,3,11000000
Higgs,9,float,No,0,11000000,767597,11000000
Higgs,10,float,No,0,11000000,5999,11000000
Higgs,11,float,No,0,11000000,5999,11000000
Higgs,12,float,No,0,11000000,495814,11000000
Higgs,13,float,No,0,11000000,27073,11000000
Higgs,14,float,No,0,11000000,5001,11000000
Higgs,15,float,No,0,11000000,6284,11000000
Higgs,16,float,No,0,11000000,5999,11000000
Higgs,17,float,No,0,11000000,45559,11000000
Higgs,18,float,No,0,11000000,27983,11000000
Higgs,19,float,No,0,11000000,6284,11000000
Higgs,20,float,No,0,11000000,6284,11000000
Higgs,21,float,No,0,11000000,1249475,11000000
Higgs,22,float,No,0,11000000,2218464,11000000
Higgs,23,float,No,0,11000000,3,11000000
Higgs,24,float,No,0,11000000,6284,11000000
Higgs,25,float,No,0,11000000,19881,11000000
Higgs,26,float,No,0,11000000,1068674,11000000
Higgs,27,float,No,0,11000000,5999,11000000
Higgs,28,float,No,0,11000000,524126,11000000
Higgs,29,float,No,0,11000000,3,11000000
