dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
KDDCup99_full,multiclass,gpt-4-turbo,Yes,S,Random,0,2991,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SDVC,Random,0,3224,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SMVF,Random,0,3385,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SSN,Random,0,3843,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SCV,Random,0,3346,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SDVCMVF,Random,0,3664,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SDVCSN,Random,0,4080,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SMVFSN,Random,0,4240,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SMVFCV,Random,0,3743,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,SSNCV,Random,0,4202,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,ALL,Random,0,4568,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,4453,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,S,Random,0,1243,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SDVC,Random,0,1476,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SMVF,Random,0,1637,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SSN,Random,0,2095,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SCV,Random,0,1598,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SDVCMVF,Random,0,1916,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SDVCSN,Random,0,2332,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SMVFSN,Random,0,2492,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SMVFCV,Random,0,1995,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,SSNCV,Random,0,2454,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,ALL,Random,0,2820,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,No,CatDB,Random,0,2705,5,18,15,4
KDDCup99_full,multiclass,gpt-4-turbo,yes,CAAFE,Random,10,50450,0,0,0,0
KDDCup99_full,multiclass,gpt-4-turbo,no,CAAFE,Random,10,33100,0,0,0,0
