dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
KDDCup99_full,1,str,0,4898431,70,4898431
KDDCup99_full,2,bool,0,4898431,2,4898431
KDDCup99_full,3,bool,0,4898431,2,4898431
KDDCup99_full,4,bool,0,4898431,2,4898431
KDDCup99_full,5,bool,0,4898431,2,4898431
KDDCup99_full,6,float,0,4898431,89,4898431
KDDCup99_full,7,float,0,4898431,72,4898431
KDDCup99_full,8,float,0,4898431,101,4898431
KDDCup99_full,9,float,0,4898431,101,4898431
KDDCup99_full,10,float,0,4898431,76,4898431
KDDCup99_full,11,float,0,4898431,101,4898431
KDDCup99_full,12,float,0,4898431,101,4898431
KDDCup99_full,13,float,0,4898431,95,4898431
KDDCup99_full,14,float,0,4898431,87,4898431
KDDCup99_full,15,float,0,4898431,101,4898431
KDDCup99_full,16,float,0,4898431,101,4898431
KDDCup99_full,17,float,0,4898431,96,4898431
KDDCup99_full,18,float,0,4898431,76,4898431
KDDCup99_full,19,bool,0,4898431,2,4898431
KDDCup99_full,20,str,0,4898431,3,4898431
KDDCup99_full,21,str,0,4898431,11,4898431
KDDCup99_full,22,str,0,4898431,23,4898431
KDDCup99_full,23,int,0,4898431,3,4898431
KDDCup99_full,24,int,0,4898431,6,4898431
KDDCup99_full,25,int,0,4898431,512,4898431
KDDCup99_full,26,int,0,4898431,3,4898431
KDDCup99_full,27,int,0,4898431,21493,4898431
KDDCup99_full,28,int,0,4898431,10,4898431
KDDCup99_full,29,int,0,4898431,98,4898431
KDDCup99_full,30,int,0,4898431,256,4898431
KDDCup99_full,31,float,0,4898431,101,4898431
KDDCup99_full,32,int,0,4898431,93,4898431
KDDCup99_full,33,int,0,4898431,7195,4898431
KDDCup99_full,34,int,0,4898431,9883,4898431
KDDCup99_full,35,int,0,4898431,256,4898431
KDDCup99_full,36,int,0,4898431,1,4898431
KDDCup99_full,37,int,0,4898431,42,4898431
KDDCup99_full,38,int,0,4898431,512,4898431
KDDCup99_full,39,int,0,4898431,30,4898431
KDDCup99_full,40,int,0,4898431,6,4898431
KDDCup99_full,41,int,0,4898431,3,4898431
KDDCup99_full,42,float,0,4898431,100,4898431
