dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
PASS,regression,gpt-4-turbo,Yes,S,Random,0,1063,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SDVC,Random,0,1127,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SMVF,Random,0,1142,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SSN,Random,0,1133,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SCV,Random,0,1087,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SDVCMVF,Random,0,1217,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SDVCSN,Random,0,1201,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SMVFSN,Random,0,1215,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SMVFCV,Random,0,1169,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,SSNCV,Random,0,1161,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,ALL,Random,0,1251,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,CatDB,Random,0,1300,0,0,2,4
PASS,regression,gpt-4-turbo,No,S,Random,0,1023,0,0,2,4
PASS,regression,gpt-4-turbo,No,SDVC,Random,0,1087,0,0,2,4
PASS,regression,gpt-4-turbo,No,SMVF,Random,0,1102,0,0,2,4
PASS,regression,gpt-4-turbo,No,SSN,Random,0,1093,0,0,2,4
PASS,regression,gpt-4-turbo,No,SCV,Random,0,1047,0,0,2,4
PASS,regression,gpt-4-turbo,No,SDVCMVF,Random,0,1177,0,0,2,4
PASS,regression,gpt-4-turbo,No,SDVCSN,Random,0,1161,0,0,2,4
PASS,regression,gpt-4-turbo,No,SMVFSN,Random,0,1175,0,0,2,4
PASS,regression,gpt-4-turbo,No,SMVFCV,Random,0,1129,0,0,2,4
PASS,regression,gpt-4-turbo,No,SSNCV,Random,0,1121,0,0,2,4
PASS,regression,gpt-4-turbo,No,ALL,Random,0,1211,0,0,2,4
PASS,regression,gpt-4-turbo,No,CatDB,Random,0,1260,0,0,2,4
PASS,regression,gpt-4-turbo,yes,CAAFE,Random,10,10230,0,0,0,0
PASS,regression,gpt-4-turbo,no,CAAFE,Random,10,9960,0,0,0,0
