dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
balance-scale,multiclass,gpt-4-turbo,Yes,S,Random,0,1162,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SDVC,Random,0,1207,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SMVF,Random,0,1223,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SSN,Random,0,1303,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SCV,Random,0,1178,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SDVCMVF,Random,0,1277,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SDVCSN,Random,0,1352,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SMVFSN,Random,0,1367,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SMVFCV,Random,0,1242,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,SSNCV,Random,0,1323,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,ALL,Random,0,1381,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1369,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,S,Random,0,987,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SDVC,Random,0,1032,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SMVF,Random,0,1048,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SSN,Random,0,1128,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SCV,Random,0,1003,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SDVCMVF,Random,0,1102,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SDVCSN,Random,0,1177,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SMVFSN,Random,0,1192,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SMVFCV,Random,0,1067,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,SSNCV,Random,0,1148,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,ALL,Random,0,1206,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,No,CatDB,Random,0,1194,0,5,0,0
balance-scale,multiclass,gpt-4-turbo,yes,CAAFE,Random,10,9850,0,0,0,0
balance-scale,multiclass,gpt-4-turbo,no,CAAFE,Random,10,8230,0,0,0,0
