dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
breast-w,binary,gpt-4-turbo,Yes,S,Random,0,1540,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SDVC,Random,0,1610,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SMVF,Random,0,1646,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SSN,Random,0,1781,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SCV,Random,0,1556,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SDVCMVF,Random,0,1730,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SDVCSN,Random,0,1855,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SMVFSN,Random,0,1890,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SMVFCV,Random,0,1665,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,SSNCV,Random,0,1801,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,ALL,Random,0,1929,1,9,0,0
breast-w,binary,gpt-4-turbo,Yes,CatDB,Random,0,1935,1,9,0,0
breast-w,binary,gpt-4-turbo,No,S,Random,0,1065,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SDVC,Random,0,1135,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SMVF,Random,0,1171,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SSN,Random,0,1306,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SCV,Random,0,1081,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SDVCMVF,Random,0,1255,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SDVCSN,Random,0,1380,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SMVFSN,Random,0,1415,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SMVFCV,Random,0,1190,1,9,0,0
breast-w,binary,gpt-4-turbo,No,SSNCV,Random,0,1326,1,9,0,0
breast-w,binary,gpt-4-turbo,No,ALL,Random,0,1454,1,9,0,0
breast-w,binary,gpt-4-turbo,No,CatDB,Random,0,1460,1,9,0,0
breast-w,binary,gpt-4-turbo,yes,CAAFE,Random,10,16480,0,0,0,0
breast-w,binary,gpt-4-turbo,no,CAAFE,Random,10,11850,0,0,0,0
