dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
credit-g,Conf-1,Random,0,939,0,7,0,14
credit-g,Conf-2,Random,0,1069,0,7,0,14
credit-g,Conf-3,Random,0,1148,0,7,0,14
credit-g,Conf-4,Random,0,1137,0,7,0,14
credit-g,Conf-5,Random,0,1103,0,7,0,14
credit-g,Conf-6,Random,0,1304,0,7,0,14
credit-g,Conf-7,Random,0,1351,0,7,0,14
credit-g,Conf-8,Random,0,1317,0,7,0,14
credit-g,Conf-9,Random,0,1306,0,7,0,14
credit-g,Conf-10,Random,0,1495,0,7,0,14
