dataset,col_index,data_type,missing_values_count,distinct_values_count
dataset_1_rnc,1,float,198,37
dataset_1_rnc,2,float,60,40
dataset_1_rnc,3,float,247,20
dataset_1_rnc,4,float,33,81
dataset_1_rnc,5,float,29,50
dataset_1_rnc,6,int,0,2
dataset_1_rnc,7,int,44,4
dataset_1_rnc,8,int,1,2
dataset_1_rnc,9,int,47,6
dataset_1_rnc,10,int,0,2
dataset_1_rnc,11,int,0,284
dataset_1_rnc,12,int,55,5
dataset_1_rnc,13,int,1,3
dataset_1_rnc,14,int,58,40
dataset_1_rnc,15,int,24,52
dataset_1_rnc,16,int,32,3
dataset_1_rnc,17,int,0,61
dataset_1_rnc,18,int,102,4
dataset_1_rnc,19,int,56,4
dataset_1_rnc,20,int,69,4
dataset_1_rnc,21,int,56,4
dataset_1_rnc,22,int,0,6
dataset_1_rnc,23,int,118,5
dataset_1_rnc,24,int,0,2
dataset_1_rnc,25,int,104,3
dataset_1_rnc,26,int,165,3
dataset_1_rnc,27,int,106,3
dataset_1_rnc,28,bool,0,2
