dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,S,Random,0,1377,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SDVC,Random,0,1432,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SMVF,Random,0,1456,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SSN,Random,0,1568,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SCV,Random,0,1449,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SDVCMVF,Random,0,1522,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SDVCSN,Random,0,1627,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SMVFSN,Random,0,1650,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SMVFCV,Random,0,1531,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,SSNCV,Random,0,1644,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,ALL,Random,0,1695,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1714,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,S,Random,0,1047,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SDVC,Random,0,1102,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SMVF,Random,0,1126,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SSN,Random,0,1238,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SCV,Random,0,1119,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SDVCMVF,Random,0,1192,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SDVCSN,Random,0,1297,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SMVFSN,Random,0,1320,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SMVFCV,Random,0,1201,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,SSNCV,Random,0,1314,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,ALL,Random,0,1365,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,No,CatDB,Random,0,1384,0,7,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,yes,CAAFE,Random,10,12930,0,0,0,0
jungle_chess_2pcs_raw_endgame_complete,multiclass,gpt-4-turbo,no,CAAFE,Random,10,9760,0,0,0,0
