dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
okcupid-stem,multiclass,gpt-4-turbo,Yes,S,Random,0,1435,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SDVC,Random,0,1556,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SMVF,Random,0,1631,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SSN,Random,0,1531,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SCV,Random,0,1603,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SDVCMVF,Random,0,1776,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SDVCSN,Random,0,1656,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SMVFSN,Random,0,1730,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SMVFCV,Random,0,1802,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,SSNCV,Random,0,1703,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,ALL,Random,0,1877,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1820,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,S,Random,0,1063,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SDVC,Random,0,1184,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SMVF,Random,0,1259,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SSN,Random,0,1159,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SCV,Random,0,1231,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SDVCMVF,Random,0,1404,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SDVCSN,Random,0,1284,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SMVFSN,Random,0,1358,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SMVFCV,Random,0,1430,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,SSNCV,Random,0,1331,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,ALL,Random,0,1505,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,No,CatDB,Random,0,1448,0,3,0,17
okcupid-stem,multiclass,gpt-4-turbo,yes,CAAFE,Random,10,21290,0,0,0,0
okcupid-stem,multiclass,gpt-4-turbo,no,CAAFE,Random,10,17690,0,0,0,0
