dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
pc1,binary,gpt-4-turbo,Yes,S,Random,0,1634,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SDVC,Random,0,1764,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SMVF,Random,0,1848,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SSN,Random,0,2200,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SCV,Random,0,1658,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SDVCMVF,Random,0,2004,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SDVCSN,Random,0,2334,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SMVFSN,Random,0,2417,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SMVFCV,Random,0,1875,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,SSNCV,Random,0,2228,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,ALL,Random,0,2519,1,4,17,0
pc1,binary,gpt-4-turbo,Yes,CatDB,Random,0,2421,1,4,17,0
pc1,binary,gpt-4-turbo,No,S,Random,0,1110,1,4,17,0
pc1,binary,gpt-4-turbo,No,SDVC,Random,0,1240,1,4,17,0
pc1,binary,gpt-4-turbo,No,SMVF,Random,0,1324,1,4,17,0
pc1,binary,gpt-4-turbo,No,SSN,Random,0,1676,1,4,17,0
pc1,binary,gpt-4-turbo,No,SCV,Random,0,1134,1,4,17,0
pc1,binary,gpt-4-turbo,No,SDVCMVF,Random,0,1480,1,4,17,0
pc1,binary,gpt-4-turbo,No,SDVCSN,Random,0,1810,1,4,17,0
pc1,binary,gpt-4-turbo,No,SMVFSN,Random,0,1893,1,4,17,0
pc1,binary,gpt-4-turbo,No,SMVFCV,Random,0,1351,1,4,17,0
pc1,binary,gpt-4-turbo,No,SSNCV,Random,0,1704,1,4,17,0
pc1,binary,gpt-4-turbo,No,ALL,Random,0,1995,1,4,17,0
pc1,binary,gpt-4-turbo,No,CatDB,Random,0,1897,1,4,17,0
pc1,binary,gpt-4-turbo,yes,CAAFE,Random,10,24820,0,0,0,0
pc1,binary,gpt-4-turbo,no,CAAFE,Random,10,19710,0,0,0,0
