dataset_name,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
road-safety,1,int,No,0,363243,21,363243
road-safety,2,int,No,0,363243,3,363243
road-safety,3,int,No,0,363243,3,363243
road-safety,4,int,No,0,363243,28,363243
road-safety,5,int,No,0,363243,37,363243
road-safety,6,int,No,0,363243,3,363243
road-safety,7,str,No,0,363243,140056,363243
road-safety,8,int,No,0,363243,38,363243
road-safety,9,int,No,1,363242,12,363243
road-safety,10,int,No,2,363241,10,363243
road-safety,11,int,No,2,363241,11,363243
road-safety,12,int,No,22,363221,6,363243
road-safety,13,int,No,46,363197,5,363243
road-safety,14,int,No,62,363181,20,363243
road-safety,15,int,No,84,363159,9,363243
road-safety,16,int,No,134,363109,2,363243
road-safety,17,int,No,159,363084,9,363243
road-safety,18,int,No,163,363080,12,363243
road-safety,19,int,No,166,363077,3,363243
road-safety,20,int,No,176,363067,6,363243
road-safety,21,int,No,176,363067,10,363243
road-safety,22,int,No,184,363059,18,363243
road-safety,23,int,No,206,363037,5,363243
road-safety,24,int,No,379,362864,6,363243
road-safety,25,int,No,762,362481,3,363243
road-safety,26,int,No,1483,361760,2,363243
road-safety,27,int,No,5569,357674,11,363243
road-safety,28,int,No,5569,357674,101,363243
road-safety,29,int,No,35869,327374,11,363243
road-safety,30,int,No,35869,327374,95,363243
road-safety,31,int,No,39795,323448,3,363243
road-safety,32,int,No,43377,319866,9,363243
road-safety,33,int,No,43377,319866,5,363243
road-safety,34,int,No,43377,319866,6,363243
road-safety,35,int,No,43377,319866,21,363243
road-safety,36,str,No,43377,319866,204,363243
road-safety,37,int,No,43377,319866,3938,363243
road-safety,38,int,No,43377,319866,49,363243
road-safety,39,int,No,43377,319866,6,363243
road-safety,40,int,No,43377,319866,15,363243
road-safety,41,date,No,43377,319866,365,363243
road-safety,42,int,No,43377,319866,7,363243
road-safety,43,int,No,43377,319866,8,363243
road-safety,44,int,No,43377,319866,3,363243
road-safety,45,int,No,43377,319866,2,363243
road-safety,46,int,No,43377,319866,356,363243
road-safety,47,int,No,43379,319864,9,363243
road-safety,48,int,No,43401,319842,3,363243
road-safety,49,str,No,43421,319822,1439,363243
road-safety,50,float,No,43450,319793,116292,363243
road-safety,51,int,No,43450,319793,78609,363243
road-safety,52,float,No,43450,319793,117588,363243
road-safety,53,int,No,43450,319793,82205,363243
road-safety,54,int,No,43590,319653,6,363243
road-safety,55,int,No,43617,319626,8,363243
road-safety,56,int,No,43679,319564,6,363243
road-safety,57,int,No,43696,319547,3,363243
road-safety,58,int,No,43893,319350,5,363243
road-safety,59,int,No,44827,318416,3707,363243
road-safety,60,int,No,60709,302534,3,363243
road-safety,61,str,No,64485,298758,25979,363243
road-safety,62,int,No,69577,293666,10,363243
road-safety,63,int,No,92636,270607,11,363243
road-safety,64,int,No,93346,269897,1140,363243
road-safety,65,int,No,107105,256138,72,363243
road-safety,66,int,No,174021,189222,4,363243
road-safety,67,int,No,175042,188201,6,363243
