dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
albert,YES,S,Random,0,1654,1,70,8,0
albert,YES,SDVC,Random,0,2104,1,70,8,0
albert,YES,SMVF,Random,0,2381,1,70,8,0
albert,YES,SSN,Random,0,3710,1,70,8,0
albert,YES,SCV,Random,0,2157,1,70,8,0
albert,YES,SDVCMVF,Random,0,2914,1,70,8,0
albert,YES,SDVCSN,Random,0,4164,1,70,8,0
albert,YES,SMVFSN,Random,0,4440,1,70,8,0
albert,YES,SMVFCV,Random,0,2887,1,70,8,0
albert,YES,SSNCV,Random,0,4217,1,70,8,0
albert,YES,ALL,Random,0,5036,1,70,8,0
albert,YES,CatDB,Random,0,4611,1,70,8,0
albert,NO,S,Random,0,1384,1,70,8,0
albert,NO,SDVC,Random,0,1834,1,70,8,0
albert,NO,SMVF,Random,0,2111,1,70,8,0
albert,NO,SSN,Random,0,3440,1,70,8,0
albert,NO,SCV,Random,0,1887,1,70,8,0
albert,NO,SDVCMVF,Random,0,2644,1,70,8,0
albert,NO,SDVCSN,Random,0,3894,1,70,8,0
albert,NO,SMVFSN,Random,0,4170,1,70,8,0
albert,NO,SMVFCV,Random,0,2617,1,70,8,0
albert,NO,SSNCV,Random,0,3947,1,70,8,0
albert,NO,ALL,Random,0,4766,1,70,8,0
albert,NO,CatDB,Random,0,4341,1,70,8,0
