dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
aloi,YES,S,Random,0,1628,0,129,0,0
aloi,YES,SDVC,Random,0,2294,0,129,0,0
aloi,YES,SMVF,Random,0,2805,0,129,0,0
aloi,YES,SSN,Random,0,4869,0,129,0,0
aloi,YES,SCV,Random,0,2677,0,129,0,0
aloi,YES,SDVCMVF,Random,0,3604,0,129,0,0
aloi,YES,SDVCSN,Random,0,5539,0,129,0,0
aloi,YES,SMVFSN,Random,0,6049,0,129,0,0
aloi,YES,SMVFCV,Random,0,3857,0,129,0,0
aloi,YES,SSNCV,Random,0,5922,0,129,0,0
aloi,YES,ALL,Random,0,7071,0,129,0,0
aloi,YES,CatDB,Random,0,6080,0,129,0,0
aloi,NO,S,Random,0,1508,0,129,0,0
aloi,NO,SDVC,Random,0,2174,0,129,0,0
aloi,NO,SMVF,Random,0,2685,0,129,0,0
aloi,NO,SSN,Random,0,4749,0,129,0,0
aloi,NO,SCV,Random,0,2557,0,129,0,0
aloi,NO,SDVCMVF,Random,0,3484,0,129,0,0
aloi,NO,SDVCSN,Random,0,5419,0,129,0,0
aloi,NO,SMVFSN,Random,0,5929,0,129,0,0
aloi,NO,SMVFCV,Random,0,3737,0,129,0,0
aloi,NO,SSNCV,Random,0,5802,0,129,0,0
aloi,NO,ALL,Random,0,6951,0,129,0,0
aloi,NO,CatDB,Random,0,5960,0,129,0,0
