dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
dionis,YES,S,Random,0,1778,0,61,0,0
dionis,YES,SDVC,Random,0,2156,0,61,0,0
dionis,YES,SMVF,Random,0,2343,0,61,0,0
dionis,YES,SSN,Random,0,3510,0,61,0,0
dionis,YES,SCV,Random,0,1957,0,61,0,0
dionis,YES,SDVCMVF,Random,0,2786,0,61,0,0
dionis,YES,SDVCSN,Random,0,3892,0,61,0,0
dionis,YES,SMVFSN,Random,0,4078,0,61,0,0
dionis,YES,SMVFCV,Random,0,2525,0,61,0,0
dionis,YES,SSNCV,Random,0,3693,0,61,0,0
dionis,YES,ALL,Random,0,4482,0,61,0,0
dionis,YES,CatDB,Random,0,4077,0,61,0,0
dionis,NO,S,Random,0,1302,0,61,0,0
dionis,NO,SDVC,Random,0,1680,0,61,0,0
dionis,NO,SMVF,Random,0,1867,0,61,0,0
dionis,NO,SSN,Random,0,3034,0,61,0,0
dionis,NO,SCV,Random,0,1481,0,61,0,0
dionis,NO,SDVCMVF,Random,0,2310,0,61,0,0
dionis,NO,SDVCSN,Random,0,3416,0,61,0,0
dionis,NO,SMVFSN,Random,0,3602,0,61,0,0
dionis,NO,SMVFCV,Random,0,2049,0,61,0,0
dionis,NO,SSNCV,Random,0,3217,0,61,0,0
dionis,NO,ALL,Random,0,4006,0,61,0,0
dionis,NO,CatDB,Random,0,3601,0,61,0,0
