dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
road-safety,YES,S,Random,0,1602,0,60,2,4
road-safety,YES,SDVC,Random,0,1967,0,60,2,4
road-safety,YES,SMVF,Random,0,2221,0,60,2,4
road-safety,YES,SSN,Random,0,3186,0,60,2,4
road-safety,YES,SCV,Random,0,2092,0,60,2,4
road-safety,YES,SDVCMVF,Random,0,2657,0,60,2,4
road-safety,YES,SDVCSN,Random,0,3555,0,60,2,4
road-safety,YES,SMVFSN,Random,0,3808,0,60,2,4
road-safety,YES,SMVFCV,Random,0,2714,0,60,2,4
road-safety,YES,SSNCV,Random,0,3680,0,60,2,4
road-safety,YES,ALL,Random,0,4319,0,60,2,4
road-safety,YES,CatDB,Random,0,4782,0,60,2,4
road-safety,NO,S,Random,0,1552,0,60,2,4
road-safety,NO,SDVC,Random,0,1917,0,60,2,4
road-safety,NO,SMVF,Random,0,2171,0,60,2,4
road-safety,NO,SSN,Random,0,3136,0,60,2,4
road-safety,NO,SCV,Random,0,2042,0,60,2,4
road-safety,NO,SDVCMVF,Random,0,2607,0,60,2,4
road-safety,NO,SDVCSN,Random,0,3505,0,60,2,4
road-safety,NO,SMVFSN,Random,0,3758,0,60,2,4
road-safety,NO,SMVFCV,Random,0,2664,0,60,2,4
road-safety,NO,SSNCV,Random,0,3630,0,60,2,4
road-safety,NO,ALL,Random,0,4269,0,60,2,4
road-safety,NO,CatDB,Random,0,4732,0,60,2,4
