dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
walking-activity,S,Random,0,944,0,1,4,0
walking-activity,SDVC,Random,0,990,0,1,4,0
walking-activity,SMVF,Random,0,1005,0,1,4,0
walking-activity,SSN,Random,0,1085,0,1,4,0
walking-activity,SCV,Random,0,992,0,1,4,0
walking-activity,SDVCMVF,Random,0,1060,0,1,4,0
walking-activity,SDVCSN,Random,0,1135,0,1,4,0
walking-activity,SMVFSN,Random,0,1149,0,1,4,0
walking-activity,SMVFCV,Random,0,1056,0,1,4,0
walking-activity,SSNCV,Random,0,1137,0,1,4,0
walking-activity,ALL,Random,0,1176,0,1,4,0
walking-activity,CatDB,Random,0,1178,0,1,4,0
