dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
walking-activity,multiclass,gpt-4-turbo,Yes,S,Random,0,1206,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SDVC,Random,0,1252,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SMVF,Random,0,1267,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SSN,Random,0,1347,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SCV,Random,0,1254,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SDVCMVF,Random,0,1322,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SDVCSN,Random,0,1397,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SMVFSN,Random,0,1411,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SMVFCV,Random,0,1318,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,SSNCV,Random,0,1399,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,ALL,Random,0,1438,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1440,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,S,Random,0,992,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SDVC,Random,0,1038,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SMVF,Random,0,1053,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SSN,Random,0,1133,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SCV,Random,0,1040,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SDVCMVF,Random,0,1108,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SDVCSN,Random,0,1183,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SMVFSN,Random,0,1197,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SMVFCV,Random,0,1104,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,SSNCV,Random,0,1185,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,ALL,Random,0,1224,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,No,CatDB,Random,0,1226,0,1,4,0
walking-activity,multiclass,gpt-4-turbo,yes,CAAFE,Random,10,10080,0,0,0,0
walking-activity,multiclass,gpt-4-turbo,no,CAAFE,Random,10,8070,0,0,0,0
