dataset_name,config,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,CAAFE
airlines,CatDB,0.997333333333333,0.997109826589595,-1,-1,-1,0.63,0.572748267898383,-1,-1,-1,0.602
balance-scale,CatDB,1,-1,0.122487013291614,-1,-1,0.75,-1,0.609330672380712,-1,-1,1
breast-w,CatDB,1,1,-1,-1,-1,1,1,-1,-1,-1,1
cmc,CatDB,0.959239130434783,-1,0.268168736365194,-1,-1,0.485094850948509,-1,1.2610690529937,-1,-1,0.552845528455285
credit-g,CatDB,1,1,-1,-1,-1,0.764,0.528,-1,-1,-1,0.748
diabetes,CatDB,1,1,-1,-1,-1,0.807291666666667,0.708661417322835,-1,-1,-1,0.791666666666667
eucalyptus,CatDB,1,-1,0.196447481380849,-1,-1,0.646739130434783,-1,0.801642736265583,-1,-1,0.690217391304348
jungle_chess_2pcs_raw_endgame_complete,CatDB,1,-1,0.139551751270487,-1,-1,0.862,-1,0.43322469641543,-1,-1,0.836
pc1,CatDB,0.995186522262335,0.96551724137931,-1,-1,-1,0.935251798561151,0.307692307692308,-1,-1,-1,0.935251798561151
tic-tac-toe,CatDB,1,1,-1,-1,-1,0.625,0.756756756756757,-1,-1,-1,0.833333333333333
