dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
breast-w,S,Random,0,1017,1,9,0,0
breast-w,SDVC,Random,0,1087,1,9,0,0
breast-w,SMVF,Random,0,1123,1,9,0,0
breast-w,SSN,Random,0,1258,1,9,0,0
breast-w,SCV,Random,0,1033,1,9,0,0
breast-w,SDVCMVF,Random,0,1207,1,9,0,0
breast-w,SDVCSN,Random,0,1332,1,9,0,0
breast-w,SMVFSN,Random,0,1367,1,9,0,0
breast-w,SMVFCV,Random,0,1142,1,9,0,0
breast-w,SSNCV,Random,0,1278,1,9,0,0
breast-w,ALL,Random,0,1406,1,9,0,0
breast-w,CatDB,Random,0,1412,1,9,0,0
