dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
diabetes,S,Random,0,977,1,6,2,0
diabetes,SDVC,Random,0,1042,1,6,2,0
diabetes,SMVF,Random,0,1074,1,6,2,0
diabetes,SSN,Random,0,1207,1,6,2,0
diabetes,SCV,Random,0,1001,1,6,2,0
diabetes,SDVCMVF,Random,0,1152,1,6,2,0
diabetes,SDVCSN,Random,0,1276,1,6,2,0
diabetes,SMVFSN,Random,0,1307,1,6,2,0
diabetes,SMVFCV,Random,0,1101,1,6,2,0
diabetes,SSNCV,Random,0,1235,1,6,2,0
diabetes,ALL,Random,0,1344,1,6,2,0
diabetes,CatDB,Random,0,1328,1,6,2,0
