dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Higgs,binary,gpt-4-turbo,Yes,CatDB,Random,0,3010,1,0,28,0
Higgs,binary,gpt-4-turbo,No,CatDB,Random,0,2603,1,0,28,0
Higgs,binary,gpt-4-turbo,Yes,CAAFE,Random,10,28650,0,0,0,0
Higgs,binary,gpt-4-turbo,No,CAAFE,Random,10,24720,0,0,0,0
Albert,binary,gpt-4-turbo,Yes,CatDB,Random,0,4605,1,70,8,0
Albert,binary,gpt-4-turbo,No,CatDB,Random,0,4335,1,70,8,0
Albert,binary,gpt-4-turbo,Yes,CAAFE,Random,10,58430,0,0,0,0
Albert,binary,gpt-4-turbo,No,CAAFE,Random,10,55870,0,0,0,0
Click-Prediction,binary,gpt-4-turbo,Yes,CatDB,Random,0,1619,1,10,1,0
Click-Prediction,binary,gpt-4-turbo,No,CatDB,Random,0,1589,1,10,1,0
Click-Prediction,binary,gpt-4-turbo,Yes,CAAFE,Random,10,14250,0,0,0,0
Click-Prediction,binary,gpt-4-turbo,No,CAAFE,Random,10,14080,0,0,0,0
Census,binary,gpt-4-turbo,Yes,CatDB,Random,0,1838,0,0,6,9
Census,binary,gpt-4-turbo,No,CatDB,Random,0,1480,0,0,6,9
Census,binary,gpt-4-turbo,Yes,CAAFE,Random,10,18450,0,0,0,0
Census,binary,gpt-4-turbo,No,CAAFE,Random,10,15010,0,0,0,0
Heart-Statlog,binary,gpt-4-turbo,Yes,CatDB,Random,0,1603,3,4,6,1
Heart-Statlog,binary,gpt-4-turbo,Yes,CAAFE,Random,10,14260,0,0,0,0
Heart-Statlog,binary,gpt-4-turbo,No,CatDB,Random,0,1603,3,4,6,1
Heart-Statlog,binary,gpt-4-turbo,No,CAAFE,Random,10,14260,0,0,0,0
KDDCup99,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,4446,5,18,15,4
KDDCup99,multiclass,gpt-4-turbo,No,CatDB,Random,0,2698,5,18,15,4
KDDCup99,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,50450,0,0,0,0
KDDCup99,multiclass,gpt-4-turbo,No,CAAFE,Random,10,33100,0,0,0,0
Road-Safety,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,4778,0,60,2,4
Road-Safety,multiclass,gpt-4-turbo,No,CatDB,Random,0,4728,0,60,2,4
Road-Safety,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,50660,0,0,0,0
Road-Safety,multiclass,gpt-4-turbo,No,CAAFE,Random,10,50290,0,0,0,0
Drug-Directory,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1610,0,3,0,17
Drug-Directory,multiclass,gpt-4-turbo,No,CatDB,Random,0,1587,0,3,0,17
Drug-Directory,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,19190,0,0,0,0
Drug-Directory,multiclass,gpt-4-turbo,No,CAAFE,Random,10,19090,0,0,0,0
Okcupid-Stem,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1820,0,3,0,17
Okcupid-Stem,multiclass,gpt-4-turbo,No,CatDB,Random,0,1448,0,3,0,17
Okcupid-Stem,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,21290,0,0,0,0
Okcupid-Stem,multiclass,gpt-4-turbo,No,CAAFE,Random,10,17690,0,0,0,0
Walking-Activity,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1440,0,1,4,0
Walking-Activity,multiclass,gpt-4-turbo,No,CatDB,Random,0,1226,0,1,4,0
Walking-Activity,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,10080,0,0,0,0
Walking-Activity,multiclass,gpt-4-turbo,No,CAAFE,Random,10,8070,0,0,0,0
PASS,regression,gpt-4-turbo,Yes,CatDB,Random,0,1301,0,0,2,4
PASS,regression,gpt-4-turbo,No,CatDB,Random,0,1261,0,0,2,4
PASS,regression,gpt-4-turbo,Yes,CAAFE,Random,10,10230,0,0,0,0
PASS,regression,gpt-4-turbo,No,CAAFE,Random,10,9960,0,0,0,0
Aloi,regression,gpt-4-turbo,Yes,CatDB,Random,0,6074,0,129,0,0
Aloi,regression,gpt-4-turbo,No,CatDB,Random,0,5954,0,129,0,0
Aloi,regression,gpt-4-turbo,Yes,CAAFE,Random,10,89640,0,0,0,0
Aloi,regression,gpt-4-turbo,No,CAAFE,Random,10,88570,0,0,0,0
MD-MIX-Mini,regression,gpt-4-turbo,Yes,CatDB,Random,0,3786,1,35,11,22
MD-MIX-Mini,regression,gpt-4-turbo,No,CatDB,Random,0,3767,1,35,11,22
MD-MIX-Mini,regression,gpt-4-turbo,Yes,CAAFE,Random,10,46630,0,0,0,0
MD-MIX-Mini,regression,gpt-4-turbo,No,CAAFE,Random,10,46580,0,0,0,0
Dionis,regression,gpt-4-turbo,Yes,CatDB,Random,0,4071,0,61,0,0
Dionis,regression,gpt-4-turbo,No,CatDB,Random,0,3595,0,61,0,0
Dionis,regression,gpt-4-turbo,Yes,CAAFE,Random,10,52550,0,0,0,0
Dionis,regression,gpt-4-turbo,No,CAAFE,Random,10,47920,0,0,0,0
Meta-Album-BRD,regression,gpt-4-turbo,Yes,CatDB,Random,0,2052,0,1,0,2
Meta-Album-BRD,regression,gpt-4-turbo,No,CatDB,Random,0,1090,0,1,0,2
Meta-Album-BRD,regression,gpt-4-turbo,Yes,CAAFE,Random,10,16210,0,0,0,0
Meta-Album-BRD,regression,gpt-4-turbo,No,CAAFE,Random,10,6720,0,0,0,0
Balance-Scale,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,1475,0,4,0,1
Balance-Scale,multiclass,gpt-4-turbo,No,CatDB,Random,0,1227,0,4,0,1
Balance-Scale,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,10370,0,0,0,0
Balance-Scale,multiclass,gpt-4-turbo,No,CAAFE,Random,10,8020,0,0,0,0
Breast-w,binary,gpt-4-turbo,Yes,CatDB,Random,0,2174,0,9,0,1
Breast-w,binary,gpt-4-turbo,No,CatDB,Random,0,1482,0,9,0,1
Breast-w,binary,gpt-4-turbo,Yes,CAAFE,Random,10,18590,0,0,0,0
Breast-w,binary,gpt-4-turbo,No,CAAFE,Random,10,11790,0,0,0,0
CMC,multiclass,gpt-4-turbo,Yes,CatDB,Random,0,2113,3,7,0,0
CMC,multiclass,gpt-4-turbo,No,CatDB,Random,0,1424,3,7,0,0
CMC,multiclass,gpt-4-turbo,Yes,CAAFE,Random,10,18540,0,0,0,0
CMC,multiclass,gpt-4-turbo,No,CAAFE,Random,10,11780,0,0,0,0
