dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
oml_dataset_109_rnc,1,int,0,28240,251,28240
oml_dataset_109_rnc,2,str,0,28240,1,28240
oml_dataset_109_rnc,3,str,0,28240,2,28240
oml_dataset_109_rnc,4,str,0,28240,22224,28240
oml_dataset_109_rnc,5,str,0,28240,28240,28240
oml_dataset_109_rnc,6,str,0,28240,845,28240
oml_dataset_109_rnc,7,str,0,28240,23,28240
oml_dataset_109_rnc,8,str,0,28240,706,28240
oml_dataset_109_rnc,9,int,0,28240,706,28240
oml_dataset_109_rnc,10,int,0,28240,1,28240
oml_dataset_109_rnc,11,int,0,28240,1,28240
oml_dataset_109_rnc,12,int,0,28240,281,28240
oml_dataset_109_rnc,13,int,0,28240,1,28240
oml_dataset_109_rnc,14,int,0,28240,309,28240
oml_dataset_109_rnc,15,int,0,28240,309,28240
oml_dataset_109_rnc,16,bool,0,28240,2,28240
oml_dataset_109_rnc,17,str,0,28240,2,28240
oml_dataset_109_rnc,18,float,0,28240,1,28240
oml_dataset_109_rnc,19,int,0,28240,1,28240
oml_dataset_109_rnc,20,str,0,28240,526,28240
oml_dataset_109_rnc,21,float,0,28240,26247,28240
oml_dataset_109_rnc,22,float,0,28240,1,28240
oml_dataset_109_rnc,23,float,0,28240,26247,28240
oml_dataset_109_rnc,24,float,0,28240,457,28240
oml_dataset_109_rnc,25,float,0,28240,26247,28240
oml_dataset_109_rnc,26,float,0,28240,1,28240
oml_dataset_109_rnc,27,float,0,28240,1,28240
oml_dataset_109_rnc,28,float,0,28240,1,28240
oml_dataset_109_rnc,29,str,0,28240,45,28240
oml_dataset_109_rnc,30,str,0,28240,4,28240
oml_dataset_109_rnc,31,str,1,28239,803,28240
oml_dataset_109_rnc,32,float,4236,24004,412,28240
oml_dataset_109_rnc,33,str,14120,14120,679,28240
oml_dataset_109_rnc,34,int,14120,14120,745,28240
oml_dataset_109_rnc,35,int,14120,14120,7,28240
oml_dataset_109_rnc,36,int,14120,14120,5,28240
oml_dataset_109_rnc,37,int,14120,14120,1006,28240
oml_dataset_109_rnc,38,int,14120,14120,702,28240
oml_dataset_109_rnc,39,int,14120,14120,1006,28240
oml_dataset_109_rnc,40,int,14120,14120,745,28240
oml_dataset_109_rnc,41,int,14120,14120,955,28240
oml_dataset_109_rnc,42,str,14120,14120,763,28240
oml_dataset_109_rnc,43,int,14120,14120,702,28240
oml_dataset_109_rnc,44,int,14120,14120,7,28240
oml_dataset_109_rnc,45,int,14120,14120,7,28240
oml_dataset_109_rnc,46,int,14120,14120,7,28240
oml_dataset_109_rnc,47,str,14120,14120,26,28240
oml_dataset_109_rnc,48,str,14120,14120,26,28240
oml_dataset_109_rnc,49,int,14120,14120,5,28240
oml_dataset_109_rnc,50,int,14120,14120,5,28240
oml_dataset_109_rnc,51,int,14120,14120,955,28240
oml_dataset_109_rnc,52,int,14120,14120,5,28240
oml_dataset_109_rnc,53,int,15532,12708,2,28240
oml_dataset_109_rnc,54,str,15532,12708,2,28240
oml_dataset_109_rnc,55,int,19768,8472,1,28240
oml_dataset_109_rnc,56,str,19768,8472,1,28240
oml_dataset_109_rnc,57,int,22592,5648,582,28240
oml_dataset_109_rnc,58,int,22592,5648,559,28240
oml_dataset_109_rnc,59,int,22592,5648,559,28240
oml_dataset_109_rnc,60,int,22592,5648,7,28240
oml_dataset_109_rnc,61,int,22592,5648,7,28240
oml_dataset_109_rnc,62,int,22592,5648,5,28240
oml_dataset_109_rnc,63,int,22592,5648,5,28240
oml_dataset_109_rnc,64,int,22592,5648,582,28240
oml_dataset_109_rnc,65,str,22592,5648,26,28240
oml_dataset_109_rnc,66,float,24004,4236,202,28240
oml_dataset_109_rnc,67,str,26828,1412,337,28240
oml_dataset_109_rnc,68,str,26828,1412,268,28240
oml_dataset_109_rnc,69,str,26828,1412,1377,28240
