dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
BNG_credit_g,Conf-1,Random,0,942,0,4,3,14
BNG_credit_g,Conf-2,Random,0,1075,0,4,3,14
BNG_credit_g,Conf-3,Random,0,1151,0,4,3,14
BNG_credit_g,Conf-4,Random,0,1147,0,4,3,14
BNG_credit_g,Conf-5,Random,0,1106,0,4,3,14
BNG_credit_g,Conf-6,Random,0,1310,0,4,3,14
BNG_credit_g,Conf-7,Random,0,1361,0,4,3,14
BNG_credit_g,Conf-8,Random,0,1320,0,4,3,14
BNG_credit_g,Conf-9,Random,0,1316,0,4,3,14
BNG_credit_g,Conf-10,Random,0,1508,0,4,3,14
