dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
BNG_credit_g,1,str,0,1000000,4,1000000
BNG_credit_g,2,str,0,1000000,3,1000000
BNG_credit_g,3,str,0,1000000,4,1000000
BNG_credit_g,4,str,0,1000000,4,1000000
BNG_credit_g,5,str,0,1000000,3,1000000
BNG_credit_g,6,str,0,1000000,5,1000000
BNG_credit_g,7,str,0,1000000,5,1000000
BNG_credit_g,8,str,0,1000000,5,1000000
BNG_credit_g,9,str,0,1000000,5,1000000
BNG_credit_g,10,str,0,1000000,11,1000000
BNG_credit_g,11,float,0,1000000,971857,1000000
BNG_credit_g,12,float,0,1000000,983864,1000000
BNG_credit_g,13,float,0,1000000,999900,1000000
BNG_credit_g,14,str,0,1000000,3,1000000
BNG_credit_g,15,str,0,1000000,2,1000000
BNG_credit_g,16,str,0,1000000,2,1000000
BNG_credit_g,17,str,0,1000000,2,1000000
BNG_credit_g,18,int,0,1000000,4,1000000
BNG_credit_g,19,int,0,1000000,4,1000000
BNG_credit_g,20,int,0,1000000,4,1000000
BNG_credit_g,21,int,0,1000000,2,1000000
