dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
MD_MIX_Mini_Copy,YES,S,Random,0,1461,1,35,11,22
MD_MIX_Mini_Copy,YES,SDVC,Random,0,1834,1,35,11,22
MD_MIX_Mini_Copy,YES,SMVF,Random,0,2098,1,35,11,22
MD_MIX_Mini_Copy,YES,SSN,Random,0,2772,1,35,11,22
MD_MIX_Mini_Copy,YES,SCV,Random,0,1789,1,35,11,22
MD_MIX_Mini_Copy,YES,SDVCMVF,Random,0,2544,1,35,11,22
MD_MIX_Mini_Copy,YES,SDVCSN,Random,0,3149,1,35,11,22
MD_MIX_Mini_Copy,YES,SMVFSN,Random,0,3412,1,35,11,22
MD_MIX_Mini_Copy,YES,SMVFCV,Random,0,2429,1,35,11,22
MD_MIX_Mini_Copy,YES,SSNCV,Random,0,3104,1,35,11,22
MD_MIX_Mini_Copy,YES,ALL,Random,0,3871,1,35,11,22
MD_MIX_Mini_Copy,YES,CatDB,Random,0,3789,1,35,11,22
MD_MIX_Mini_Copy,NO,S,Random,0,1442,1,35,11,22
MD_MIX_Mini_Copy,NO,SDVC,Random,0,1815,1,35,11,22
MD_MIX_Mini_Copy,NO,SMVF,Random,0,2079,1,35,11,22
MD_MIX_Mini_Copy,NO,SSN,Random,0,2753,1,35,11,22
MD_MIX_Mini_Copy,NO,SCV,Random,0,1770,1,35,11,22
MD_MIX_Mini_Copy,NO,SDVCMVF,Random,0,2525,1,35,11,22
MD_MIX_Mini_Copy,NO,SDVCSN,Random,0,3130,1,35,11,22
MD_MIX_Mini_Copy,NO,SMVFSN,Random,0,3393,1,35,11,22
MD_MIX_Mini_Copy,NO,SMVFCV,Random,0,2410,1,35,11,22
MD_MIX_Mini_Copy,NO,SSNCV,Random,0,3085,1,35,11,22
MD_MIX_Mini_Copy,NO,ALL,Random,0,3852,1,35,11,22
MD_MIX_Mini_Copy,NO,CatDB,Random,0,3770,1,35,11,22
