dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
Meta_Album_BRD_Extended,YES,S,Random,0,1993,0,1,0,2
Meta_Album_BRD_Extended,YES,SDVC,Random,0,2029,0,1,0,2
Meta_Album_BRD_Extended,YES,SMVF,Random,0,2036,0,1,0,2
Meta_Album_BRD_Extended,YES,SSN,Random,0,2009,0,1,0,2
Meta_Album_BRD_Extended,YES,SCV,Random,0,2025,0,1,0,2
Meta_Album_BRD_Extended,YES,SDVCMVF,Random,0,2079,0,1,0,2
Meta_Album_BRD_Extended,YES,SDVCSN,Random,0,2049,0,1,0,2
Meta_Album_BRD_Extended,YES,SMVFSN,Random,0,2055,0,1,0,2
Meta_Album_BRD_Extended,YES,SMVFCV,Random,0,2071,0,1,0,2
Meta_Album_BRD_Extended,YES,SSNCV,Random,0,2045,0,1,0,2
Meta_Album_BRD_Extended,YES,ALL,Random,0,2066,0,1,0,2
Meta_Album_BRD_Extended,YES,CatDB,Random,0,2066,0,1,0,2
Meta_Album_BRD_Extended,NO,S,Random,0,1031,0,1,0,2
Meta_Album_BRD_Extended,NO,SDVC,Random,0,1067,0,1,0,2
Meta_Album_BRD_Extended,NO,SMVF,Random,0,1074,0,1,0,2
Meta_Album_BRD_Extended,NO,SSN,Random,0,1047,0,1,0,2
Meta_Album_BRD_Extended,NO,SCV,Random,0,1063,0,1,0,2
Meta_Album_BRD_Extended,NO,SDVCMVF,Random,0,1117,0,1,0,2
Meta_Album_BRD_Extended,NO,SDVCSN,Random,0,1087,0,1,0,2
Meta_Album_BRD_Extended,NO,SMVFSN,Random,0,1093,0,1,0,2
Meta_Album_BRD_Extended,NO,SMVFCV,Random,0,1109,0,1,0,2
Meta_Album_BRD_Extended,NO,SSNCV,Random,0,1083,0,1,0,2
Meta_Album_BRD_Extended,NO,ALL,Random,0,1104,0,1,0,2
Meta_Album_BRD_Extended,NO,CatDB,Random,0,1104,0,1,0,2
