dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
airlines,Conf-1,Random,0,863,1,4,0,3
airlines,Conf-2,Random,0,930,1,4,0,3
airlines,Conf-3,Random,0,955,1,4,0,3
airlines,Conf-4,Random,0,987,1,4,0,3
airlines,Conf-5,Random,0,940,1,4,0,3
airlines,Conf-6,Random,0,1035,1,4,0,3
airlines,Conf-7,Random,0,1084,1,4,0,3
airlines,Conf-8,Random,0,1037,1,4,0,3
airlines,Conf-9,Random,0,1069,1,4,0,3
airlines,Conf-10,Random,0,1132,1,4,0,3
