dataset,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
aloi,1,int,NO,0,108000,9,108000
aloi,2,int,NO,0,108000,7,108000
aloi,3,int,NO,0,108000,9,108000
aloi,4,int,NO,0,108000,8,108000
aloi,5,int,NO,0,108000,9,108000
aloi,6,int,NO,0,108000,10,108000
aloi,7,int,NO,0,108000,9,108000
aloi,8,int,NO,0,108000,9,108000
aloi,9,int,NO,0,108000,10,108000
aloi,10,int,NO,0,108000,7,108000
aloi,11,int,NO,0,108000,10,108000
aloi,12,int,NO,0,108000,10,108000
aloi,13,int,NO,0,108000,10,108000
aloi,14,int,NO,0,108000,9,108000
aloi,15,int,NO,0,108000,10,108000
aloi,16,int,NO,0,108000,4,108000
aloi,17,int,NO,0,108000,1000,108000
aloi,18,int,NO,0,108000,9,108000
aloi,19,int,NO,0,108000,9,108000
aloi,20,int,NO,0,108000,10,108000
aloi,21,int,NO,0,108000,9,108000
aloi,22,int,NO,0,108000,10,108000
aloi,23,int,NO,0,108000,9,108000
aloi,24,int,NO,0,108000,7,108000
aloi,25,int,NO,0,108000,10,108000
aloi,26,int,NO,0,108000,10,108000
aloi,27,int,NO,0,108000,10,108000
aloi,28,int,NO,0,108000,9,108000
aloi,29,int,NO,0,108000,9,108000
aloi,30,int,NO,0,108000,10,108000
aloi,31,int,NO,0,108000,7,108000
aloi,32,int,NO,0,108000,10,108000
aloi,33,int,NO,0,108000,10,108000
aloi,34,int,NO,0,108000,5,108000
aloi,35,int,NO,0,108000,9,108000
aloi,36,int,NO,0,108000,10,108000
aloi,37,int,NO,0,108000,10,108000
aloi,38,int,NO,0,108000,10,108000
aloi,39,int,NO,0,108000,9,108000
aloi,40,int,NO,0,108000,8,108000
aloi,41,int,NO,0,108000,9,108000
aloi,42,int,NO,0,108000,8,108000
aloi,43,int,NO,0,108000,9,108000
aloi,44,int,NO,0,108000,9,108000
aloi,45,int,NO,0,108000,9,108000
aloi,46,int,NO,0,108000,10,108000
aloi,47,int,NO,0,108000,9,108000
aloi,48,int,NO,0,108000,10,108000
aloi,49,int,NO,0,108000,8,108000
aloi,50,int,NO,0,108000,8,108000
aloi,51,int,NO,0,108000,10,108000
aloi,52,int,NO,0,108000,9,108000
aloi,53,int,NO,0,108000,9,108000
aloi,54,int,NO,0,108000,9,108000
aloi,55,int,NO,0,108000,10,108000
aloi,56,int,NO,0,108000,9,108000
aloi,57,int,NO,0,108000,10,108000
aloi,58,int,NO,0,108000,10,108000
aloi,59,int,NO,0,108000,10,108000
aloi,60,int,NO,0,108000,9,108000
aloi,61,int,NO,0,108000,10,108000
aloi,62,int,NO,0,108000,10,108000
aloi,63,int,NO,0,108000,8,108000
aloi,64,int,NO,0,108000,9,108000
aloi,65,int,NO,0,108000,4,108000
aloi,66,int,NO,0,108000,10,108000
aloi,67,int,NO,0,108000,7,108000
aloi,68,int,NO,0,108000,10,108000
aloi,69,int,NO,0,108000,3,108000
aloi,70,int,NO,0,108000,9,108000
aloi,71,int,NO,0,108000,10,108000
aloi,72,int,NO,0,108000,8,108000
aloi,73,int,NO,0,108000,10,108000
aloi,74,int,NO,0,108000,10,108000
aloi,75,int,NO,0,108000,10,108000
aloi,76,int,NO,0,108000,9,108000
aloi,77,int,NO,0,108000,10,108000
aloi,78,int,NO,0,108000,10,108000
aloi,79,int,NO,0,108000,9,108000
aloi,80,int,NO,0,108000,9,108000
aloi,81,int,NO,0,108000,10,108000
aloi,82,int,NO,0,108000,9,108000
aloi,83,int,NO,0,108000,10,108000
aloi,84,int,NO,0,108000,10,108000
aloi,85,int,NO,0,108000,10,108000
aloi,86,int,NO,0,108000,10,108000
aloi,87,int,NO,0,108000,10,108000
aloi,88,int,NO,0,108000,10,108000
aloi,89,int,NO,0,108000,8,108000
aloi,90,int,NO,0,108000,10,108000
aloi,91,int,NO,0,108000,8,108000
aloi,92,int,NO,0,108000,10,108000
aloi,93,int,NO,0,108000,10,108000
aloi,94,int,NO,0,108000,10,108000
aloi,95,int,NO,0,108000,10,108000
aloi,96,int,NO,0,108000,10,108000
aloi,97,int,NO,0,108000,10,108000
aloi,98,int,NO,0,108000,8,108000
aloi,99,int,NO,0,108000,9,108000
aloi,100,int,NO,0,108000,10,108000
aloi,101,int,NO,0,108000,10,108000
aloi,102,int,NO,0,108000,9,108000
aloi,103,int,NO,0,108000,9,108000
aloi,104,int,NO,0,108000,9,108000
aloi,105,int,NO,0,108000,10,108000
aloi,106,int,NO,0,108000,9,108000
aloi,107,int,NO,0,108000,10,108000
aloi,108,int,NO,0,108000,10,108000
aloi,109,int,NO,0,108000,10,108000
aloi,110,int,NO,0,108000,10,108000
aloi,111,int,NO,0,108000,10,108000
aloi,112,int,NO,0,108000,8,108000
aloi,113,int,NO,0,108000,10,108000
aloi,114,int,NO,0,108000,9,108000
aloi,115,int,NO,0,108000,10,108000
aloi,116,int,NO,0,108000,9,108000
aloi,117,int,NO,0,108000,10,108000
aloi,118,int,NO,0,108000,8,108000
aloi,119,int,NO,0,108000,10,108000
aloi,120,int,NO,0,108000,8,108000
aloi,121,int,NO,0,108000,10,108000
aloi,122,int,NO,0,108000,10,108000
aloi,123,int,NO,0,108000,10,108000
aloi,124,int,NO,0,108000,9,108000
aloi,125,int,NO,0,108000,10,108000
aloi,126,int,NO,0,108000,8,108000
aloi,127,int,NO,0,108000,8,108000
aloi,128,int,NO,0,108000,8,108000
aloi,129,int,NO,0,108000,9,108000
