dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
balance-scale,YES,S,Random,0,1168,0,5,0,0
balance-scale,YES,SDVC,Random,0,1213,0,5,0,0
balance-scale,YES,SMVF,Random,0,1229,0,5,0,0
balance-scale,YES,SSN,Random,0,1309,0,5,0,0
balance-scale,YES,SCV,Random,0,1184,0,5,0,0
balance-scale,YES,SDVCMVF,Random,0,1283,0,5,0,0
balance-scale,YES,SDVCSN,Random,0,1358,0,5,0,0
balance-scale,YES,SMVFSN,Random,0,1373,0,5,0,0
balance-scale,YES,SMVFCV,Random,0,1248,0,5,0,0
balance-scale,YES,SSNCV,Random,0,1329,0,5,0,0
balance-scale,YES,ALL,Random,0,1387,0,5,0,0
balance-scale,YES,CatDB,Random,0,1375,0,5,0,0
balance-scale,NO,S,Random,0,993,0,5,0,0
balance-scale,NO,SDVC,Random,0,1038,0,5,0,0
balance-scale,NO,SMVF,Random,0,1054,0,5,0,0
balance-scale,NO,SSN,Random,0,1134,0,5,0,0
balance-scale,NO,SCV,Random,0,1009,0,5,0,0
balance-scale,NO,SDVCMVF,Random,0,1108,0,5,0,0
balance-scale,NO,SDVCSN,Random,0,1183,0,5,0,0
balance-scale,NO,SMVFSN,Random,0,1198,0,5,0,0
balance-scale,NO,SMVFCV,Random,0,1073,0,5,0,0
balance-scale,NO,SSNCV,Random,0,1154,0,5,0,0
balance-scale,NO,ALL,Random,0,1212,0,5,0,0
balance-scale,NO,CatDB,Random,0,1200,0,5,0,0
