dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
black_friday,Conf-1,Random,0,898,2,7,1,0
black_friday,Conf-2,Random,0,974,2,7,1,0
black_friday,Conf-3,Random,0,1008,2,7,1,0
black_friday,Conf-4,Random,0,1126,2,7,1,0
black_friday,Conf-5,Random,0,990,2,7,1,0
black_friday,Conf-6,Random,0,1099,2,7,1,0
black_friday,Conf-7,Random,0,1241,2,7,1,0
black_friday,Conf-8,Random,0,1105,2,7,1,0
black_friday,Conf-9,Random,0,1223,2,7,1,0
black_friday,Conf-10,Random,0,1304,2,7,1,0
