dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
breast-w,YES,S,Random,0,1546,1,9,0,0
breast-w,YES,SDVC,Random,0,1616,1,9,0,0
breast-w,YES,SMVF,Random,0,1652,1,9,0,0
breast-w,YES,SSN,Random,0,1787,1,9,0,0
breast-w,YES,SCV,Random,0,1562,1,9,0,0
breast-w,YES,SDVCMVF,Random,0,1736,1,9,0,0
breast-w,YES,SDVCSN,Random,0,1861,1,9,0,0
breast-w,YES,SMVFSN,Random,0,1896,1,9,0,0
breast-w,YES,SMVFCV,Random,0,1671,1,9,0,0
breast-w,YES,SSNCV,Random,0,1807,1,9,0,0
breast-w,YES,ALL,Random,0,1935,1,9,0,0
breast-w,YES,CatDB,Random,0,1941,1,9,0,0
breast-w,NO,S,Random,0,1071,1,9,0,0
breast-w,NO,SDVC,Random,0,1141,1,9,0,0
breast-w,NO,SMVF,Random,0,1177,1,9,0,0
breast-w,NO,SSN,Random,0,1312,1,9,0,0
breast-w,NO,SCV,Random,0,1087,1,9,0,0
breast-w,NO,SDVCMVF,Random,0,1261,1,9,0,0
breast-w,NO,SDVCSN,Random,0,1386,1,9,0,0
breast-w,NO,SMVFSN,Random,0,1421,1,9,0,0
breast-w,NO,SMVFCV,Random,0,1196,1,9,0,0
breast-w,NO,SSNCV,Random,0,1332,1,9,0,0
breast-w,NO,ALL,Random,0,1460,1,9,0,0
breast-w,NO,CatDB,Random,0,1466,1,9,0,0
