dataset,with_dataset_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
cmc,YES,S,Random,0,1676,3,7,0,0
cmc,YES,SDVC,Random,0,1746,3,7,0,0
cmc,YES,SMVF,Random,0,1782,3,7,0,0
cmc,YES,SSN,Random,0,1867,3,7,0,0
cmc,YES,SCV,Random,0,1756,3,7,0,0
cmc,YES,SDVCMVF,Random,0,1866,3,7,0,0
cmc,YES,SDVCSN,Random,0,1941,3,7,0,0
cmc,YES,SMVFSN,Random,0,1976,3,7,0,0
cmc,YES,SMVFCV,Random,0,1865,3,7,0,0
cmc,YES,SSNCV,Random,0,1951,3,7,0,0
cmc,YES,ALL,Random,0,2039,3,7,0,0
cmc,YES,CatDB,Random,0,2037,3,7,0,0
cmc,NO,S,Random,0,1064,3,7,0,0
cmc,NO,SDVC,Random,0,1134,3,7,0,0
cmc,NO,SMVF,Random,0,1170,3,7,0,0
cmc,NO,SSN,Random,0,1255,3,7,0,0
cmc,NO,SCV,Random,0,1144,3,7,0,0
cmc,NO,SDVCMVF,Random,0,1254,3,7,0,0
cmc,NO,SDVCSN,Random,0,1329,3,7,0,0
cmc,NO,SMVFSN,Random,0,1364,3,7,0,0
cmc,NO,SMVFCV,Random,0,1253,3,7,0,0
cmc,NO,SSNCV,Random,0,1339,3,7,0,0
cmc,NO,ALL,Random,0,1427,3,7,0,0
cmc,NO,CatDB,Random,0,1425,3,7,0,0
