dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
dataset_2_rnc,1,int,0,1000,4,1000
dataset_2_rnc,2,str,0,1000,4,1000
dataset_2_rnc,3,str,0,1000,2,1000
dataset_2_rnc,4,str,0,1000,10,1000
dataset_2_rnc,5,str,0,1000,4,1000
dataset_2_rnc,6,str,0,1000,4,1000
dataset_2_rnc,7,str,0,1000,5,1000
dataset_2_rnc,8,str,0,1000,2,1000
dataset_2_rnc,9,str,0,1000,3,1000
dataset_2_rnc,10,str,0,1000,5,1000
dataset_2_rnc,11,str,0,1000,5,1000
dataset_2_rnc,12,int,0,1000,2,1000
dataset_2_rnc,13,int,0,1000,921,1000
dataset_2_rnc,14,int,0,1000,53,1000
dataset_2_rnc,15,int,0,1000,4,1000
dataset_2_rnc,16,int,0,1000,4,1000
dataset_2_rnc,17,int,0,1000,33,1000
dataset_2_rnc,18,str,0,1000,4,1000
dataset_2_rnc,19,str,596,404,1,1000
dataset_2_rnc,20,str,814,186,2,1000
dataset_2_rnc,21,str,907,93,2,1000
