dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
dataset_6_rnc,S,Random,0,960,0,11,0,0
dataset_6_rnc,SDVC,Random,0,1035,0,11,0,0
dataset_6_rnc,SMVF,Random,0,1075,0,11,0,0
dataset_6_rnc,SSN,Random,0,1251,0,11,0,0
dataset_6_rnc,SCV,Random,0,1064,0,11,0,0
dataset_6_rnc,SDVCMVF,Random,0,1165,0,11,0,0
dataset_6_rnc,SDVCSN,Random,0,1330,0,11,0,0
dataset_6_rnc,SMVFSN,Random,0,1369,0,11,0,0
dataset_6_rnc,SMVFCV,Random,0,1182,0,11,0,0
dataset_6_rnc,SSNCV,Random,0,1359,0,11,0,0
dataset_6_rnc,ALL,Random,0,1446,0,11,0,0
