dataset,col_index,data_type,with_dataset_description,missing_values_count,total_values_count,distinct_values_count,number_rows
drug-directory,1,str,NO,0,120215,120215,120215
drug-directory,2,str,NO,0,120215,10,120215
drug-directory,3,str,NO,0,120215,117896,120215
drug-directory,4,int,NO,0,120215,7474,120215
drug-directory,5,str,NO,0,120215,139,120215
drug-directory,6,str,NO,0,120215,1,120215
drug-directory,7,str,NO,0,120215,7,120215
drug-directory,8,str,NO,0,120215,13388,120215
drug-directory,9,str,NO,7,120208,45019,120215
drug-directory,10,str,NO,7,120208,19307,120215
drug-directory,11,str,NO,2152,118063,192,120215
drug-directory,12,str,NO,2616,117599,2927,120215
drug-directory,13,str,NO,2616,117599,9729,120215
drug-directory,14,str,NO,2616,117599,10204,120215
drug-directory,15,int,NO,4593,115622,2,120215
drug-directory,16,str,NO,14921,105294,11256,120215
drug-directory,17,str,NO,74252,45963,1319,120215
drug-directory,18,str,NO,108397,11818,4569,120215
drug-directory,19,str,NO,115504,4711,4,120215
drug-directory,20,int,NO,115624,4591,676,120215
