dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
federal_election,Conf-1,Random,0,950,0,4,1,16
federal_election,Conf-2,Random,0,1096,0,4,1,16
federal_election,Conf-3,Random,0,1159,0,4,1,16
federal_election,Conf-4,Random,0,1160,0,4,1,16
federal_election,Conf-5,Random,0,1079,0,4,1,16
federal_election,Conf-6,Random,0,1331,0,4,1,16
federal_election,Conf-7,Random,0,1374,0,4,1,16
federal_election,Conf-8,Random,0,1293,0,4,1,16
federal_election,Conf-9,Random,0,1294,0,4,1,16
federal_election,Conf-10,Random,0,1519,0,4,1,16
