dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
nyc-taxi-green-dec-2016,1,float,0,581835,1811,581835
nyc-taxi-green-dec-2016,2,float,0,581835,5377,581835
nyc-taxi-green-dec-2016,3,float,0,581835,105,581835
nyc-taxi-green-dec-2016,4,int,0,581835,31,581835
nyc-taxi-green-dec-2016,5,int,0,581835,5,581835
nyc-taxi-green-dec-2016,6,int,0,581835,3,581835
nyc-taxi-green-dec-2016,7,int,0,581835,31,581835
nyc-taxi-green-dec-2016,8,int,0,581835,60,581835
nyc-taxi-green-dec-2016,9,int,0,581835,24,581835
nyc-taxi-green-dec-2016,10,int,0,581835,60,581835
nyc-taxi-green-dec-2016,11,int,0,581835,24,581835
nyc-taxi-green-dec-2016,12,int,0,581835,5,581835
nyc-taxi-green-dec-2016,13,int,0,581835,3,581835
nyc-taxi-green-dec-2016,14,int,0,581835,10,581835
nyc-taxi-green-dec-2016,15,bool,0,581835,2,581835
nyc-taxi-green-dec-2016,16,bool,0,581835,2,581835
nyc-taxi-green-dec-2016,17,bool,0,581835,2,581835
