dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
oml_dataset_3_rnc,S,Random,0,941,1,4,0,3
oml_dataset_3_rnc,SDVC,Random,0,1003,1,4,0,3
oml_dataset_3_rnc,SMVF,Random,0,1029,1,4,0,3
oml_dataset_3_rnc,SSN,Random,0,1061,1,4,0,3
oml_dataset_3_rnc,SCV,Random,0,1014,1,4,0,3
oml_dataset_3_rnc,SDVCMVF,Random,0,1103,1,4,0,3
oml_dataset_3_rnc,SDVCSN,Random,0,1127,1,4,0,3
oml_dataset_3_rnc,SMVFSN,Random,0,1152,1,4,0,3
oml_dataset_3_rnc,SMVFCV,Random,0,1105,1,4,0,3
oml_dataset_3_rnc,SSNCV,Random,0,1138,1,4,0,3
oml_dataset_3_rnc,ALL,Random,0,1204,1,4,0,3
