dataset,col_index,data_type,missing_values_count,total_values_count,distinct_values_count,number_rows
oml_dataset_48_rnc,1,str,0,307511,3,307511
oml_dataset_48_rnc,2,int,0,307511,17460,307511
oml_dataset_48_rnc,3,int,0,307511,3,307511
oml_dataset_48_rnc,4,int,0,307511,12574,307511
oml_dataset_48_rnc,5,int,0,307511,15,307511
oml_dataset_48_rnc,6,int,0,307511,6168,307511
oml_dataset_48_rnc,7,bool,0,307511,2,307511
oml_dataset_48_rnc,8,int,0,307511,3,307511
oml_dataset_48_rnc,9,float,0,307511,5603,307511
oml_dataset_48_rnc,10,str,0,307511,2,307511
oml_dataset_48_rnc,11,str,0,307511,2,307511
oml_dataset_48_rnc,12,str,0,307511,6,307511
oml_dataset_48_rnc,13,str,0,307511,2,307511
oml_dataset_48_rnc,14,str,0,307511,5,307511
oml_dataset_48_rnc,15,str,0,307511,7,307511
oml_dataset_48_rnc,16,str,0,307511,8,307511
oml_dataset_48_rnc,17,str,0,307511,58,307511
oml_dataset_48_rnc,18,str,0,307511,6,307511
oml_dataset_48_rnc,19,int,0,307511,24,307511
oml_dataset_48_rnc,20,bool,0,307511,2,307511
oml_dataset_48_rnc,21,bool,0,307511,2,307511
oml_dataset_48_rnc,22,bool,0,307511,2,307511
oml_dataset_48_rnc,23,bool,0,307511,2,307511
oml_dataset_48_rnc,24,bool,0,307511,2,307511
oml_dataset_48_rnc,25,bool,0,307511,2,307511
oml_dataset_48_rnc,26,bool,0,307511,2,307511
oml_dataset_48_rnc,27,float,0,307511,15688,307511
oml_dataset_48_rnc,28,bool,0,307511,2,307511
oml_dataset_48_rnc,29,bool,0,307511,2,307511
oml_dataset_48_rnc,30,bool,0,307511,2,307511
oml_dataset_48_rnc,31,bool,0,307511,2,307511
oml_dataset_48_rnc,32,bool,0,307511,2,307511
oml_dataset_48_rnc,33,bool,0,307511,2,307511
oml_dataset_48_rnc,34,float,0,307511,2548,307511
oml_dataset_48_rnc,35,bool,0,307511,2,307511
oml_dataset_48_rnc,36,bool,0,307511,2,307511
oml_dataset_48_rnc,37,bool,0,307511,2,307511
oml_dataset_48_rnc,38,bool,0,307511,2,307511
oml_dataset_48_rnc,39,bool,0,307511,2,307511
oml_dataset_48_rnc,40,float,0,307511,81,307511
oml_dataset_48_rnc,41,bool,0,307511,2,307511
oml_dataset_48_rnc,42,bool,0,307511,2,307511
oml_dataset_48_rnc,43,bool,0,307511,2,307511
oml_dataset_48_rnc,44,bool,0,307511,2,307511
oml_dataset_48_rnc,45,bool,0,307511,2,307511
oml_dataset_48_rnc,46,bool,0,307511,2,307511
oml_dataset_48_rnc,47,bool,0,307511,2,307511
oml_dataset_48_rnc,48,bool,0,307511,2,307511
oml_dataset_48_rnc,49,bool,0,307511,2,307511
oml_dataset_48_rnc,50,bool,0,307511,2,307511
oml_dataset_48_rnc,51,bool,0,307511,2,307511
oml_dataset_48_rnc,52,bool,0,307511,2,307511
oml_dataset_48_rnc,53,bool,0,307511,2,307511
oml_dataset_48_rnc,54,bool,0,307511,2,307511
oml_dataset_48_rnc,55,int,1,307510,3773,307511
oml_dataset_48_rnc,56,int,2,307509,17,307511
oml_dataset_48_rnc,57,float,12,307499,13672,307511
oml_dataset_48_rnc,58,float,278,307233,1002,307511
oml_dataset_48_rnc,59,float,660,306851,119831,307511
oml_dataset_48_rnc,60,int,1021,306490,33,307511
