dataset,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
tic-tac-toe,S,Random,0,1011,1,9,0,0
tic-tac-toe,SDVC,Random,0,1081,1,9,0,0
tic-tac-toe,SMVF,Random,0,1117,1,9,0,0
tic-tac-toe,SSN,Random,0,1252,1,9,0,0
tic-tac-toe,SCV,Random,0,1027,1,9,0,0
tic-tac-toe,SDVCMVF,Random,0,1201,1,9,0,0
tic-tac-toe,SDVCSN,Random,0,1326,1,9,0,0
tic-tac-toe,SMVFSN,Random,0,1361,1,9,0,0
tic-tac-toe,SMVFCV,Random,0,1136,1,9,0,0
tic-tac-toe,SSNCV,Random,0,1272,1,9,0,0
tic-tac-toe,ALL,Random,0,1400,1,9,0,0
tic-tac-toe,CatDB,Random,0,1393,1,9,0,0
